source_table,source_row,number,qid,vars,description,note,condition,extra_vars,status,reason
0,1,1,"sel_gen,O1","sel_gen,vO1","受訪者為女性,但vO1工作狀況選(12)服義務役或(13)服(研發)替代役。",*品管項目,"sel_gen=2 & any(vO1,12,13)",,auto,female military-service option
1,1,1,"A1,A2,A3,A9","vA1,vA2,vA3,vA9","57年施行九年國民義務教育,出生年在57年次以後(57歲及以下),且為台灣出生者(vA3選1-22、97、98),於vA9教育程度,不應為(01)不識字、(02)自修/小學 | (年齡計算以114年減出生年)。",*品管項目,"vA1>=57 & any(vA3,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,97,98) & any(vA9,1,2)",,auto,education by birth year
1,2,2,"A1,A2,A9","vA1,vA2,vA9","出生年超過民國92年次(未滿22歲者),vA9教育程度不應為(07)碩士、(08)博士 | (年齡計算以114年減出生年)。",*品管項目,"vA1>92 & any(vA9,7,8)",,auto,education too high by birth year
1,3,3,B2,vB2,"vB2看電視的平常日(週一到週五),一整天看超過12小時,列出確認。",,"not(any(vB2,9797,9898)) & vB2>1200",,auto,single HHMM threshold
1,4,4,B4,vB4,"vB4有看電視的週六或週日,一整天看超過12小時,列出確認。",,"not(any(vB4,9797,9898)) & vB4>1200",,auto,single HHMM threshold
1,5,5,B6,vB6,"vB6看電視新聞的那一天,一整天看超過12小時,列出確認。",,"not(any(vB6,9797,9898)) & vB6>1200",,auto,single HHMM threshold
1,6,6,C2,vC2,"vC2有聽廣播的那一天,一整天聽超過12小時,列出確認。",,"not(any(vC2,9797,9898)) & vC2>1200",,auto,single HHMM threshold
1,7,7,D3,vD3,"vD3有用手機的那一天,一整天用超過16小時,列出確認。",,"not(any(vD3,9797,9898)) & vD3>1600",,auto,single HHMM threshold
1,8,8,"E5,E8,E11","vE5,vE8,vE11","各項裝置(手機、平板及電腦)因工作與課業而上網的時間相加超過16小時,列出確認。",列出E5~E12加總合計時數、該檢核項的合計時數、以及vE5 | ~vE12共計6變項資料。,"not(any(vE5,9797,9898)) & not(any(vE8,9797,9898)) & not(any(vE11,9797,9898)) & ((trunc(vE5/100)*60 + mod(vE5,100)) + (trunc(vE8/100)*60 + mod(vE8,100)) + (trunc(vE11/100)*60 + mod(vE11,100)))>960","sumE5_E12_min,sumE5_E8_E11_min,vE5,vE6,vE8,vE9,vE11,vE12",auto,summed HHMM threshold
1,9,9,"E5,E8,E11","vE6,vE9,vE12","各項裝置(手機、平板及電腦)非因工作與課業而上網的時間相加超過16小時,列出確認。",列出E5~E12加總合計時數、該檢核項的合計時數、以及vE5 | ~vE12共計6變項資料。,"not(any(vE6,9797,9898)) & not(any(vE9,9797,9898)) & not(any(vE12,9797,9898)) & ((trunc(vE6/100)*60 + mod(vE6,100)) + (trunc(vE9/100)*60 + mod(vE9,100)) + (trunc(vE12/100)*60 + mod(vE12,100)))>960","sumE5_E12_min,sumE6_E9_E12_min,vE5,vE6,vE8,vE9,vE11,vE12",auto,summed HHMM threshold
