row,var,qid,status,reason,existing_r1,existing_r2,existing_r3,existing_r4,proposed_r1,proposed_r2,proposed_r3,proposed_r4,source,question_excerpt
2,vZA,,manual,no automatic proposal,,,,,,,,,no numeric range found,
3,vZA0,ZA0,match,,"1,2",,,,"1,2",,,,option code span,"ZA0 「為了保障您的權益,接下來的訪問,我們將進行錄音,也一定會遵守研究倫理與個人資料保護法的規定,保護您的回答,所有資料都只用於學術研究,請您放心。」 (01)是,同意錄音 (02)否,拒絕錄音(請停止訪問並點選02後,在下一題點選中止代碼201,並填寫拒訪原因)【與ZA0_1選項互斥】"
4,vZA0_1,ZA0_1,match,,"1,2",,,,"1,2",,,,option code span,"ZA0_1 想跟您確定一下我的戶中抽樣結果是不是正確的? 請問家中具有本國國籍,年滿18歲以上(民國96年12月底以前出生者),且最近三個月內住在【貼題:中選地址】這個地址「一星期有四天以上」的人,總共有合格(Y)/男性合格(Z)/中選(X)【貼題:戶中抽樣結果】,請問這位是您嗎? (01)戶抽人數正確 (02)戶抽人數不正確,請重抽〈請停止訪問並點選02後,在下一題點選中止代碼609,並到戶中抽樣視窗重新進行抽樣〉【與SFO選項01互斥】 訪問方式說明:"
5,vSF0,SF0,match,,1,,,,1,,,,option code span,"SF0 這次訪問是採用一問一答的方式,訪問包含八成的傳播媒體使用,與兩成的政治傳播題目,題目都是選擇題,我們會將題目仔細唸給您聽,您再告訴我們您覺得最合適的答案是哪一項。(不顯示選項編號) (01)完成說明,開始訪問 A、基本狀況"
6,vA1,A1,match,,"1,96",997,998,,"1,96",997,998,,explicit numeric range,"A1‧請問您是民國哪一年出生的?(出生年以身分證上的為主) 訪員注意:若不知道出生年,請依生肖及現在大約幾歲,再由提示卡70生肖表查詢出生年。 民國______年【數值題,範圍1-96】 □ (997)不知道 □ (998)拒答"
7,vA2,A2,range_match_special_diff,r1 matches; r2-r4 differ,"1,12",997,998,97,"1,12",97,997,998,option code span,"A2‧請問您今年大概幾歲?【A1答(997)或(998)者,才需回答此題】 □ (01)18歲~19歲 □ (02)20歲~24歲 □ (03)25歲~29歲 □ (04)30歲~34歲 □ (05)35歲~39歲 □ (06)40歲~44歲 □ (07)45歲~49歲 □ (08)50歲~54歲 □ (09)55歲~59歲 □ (10)60歲~64歲 □ (11)65歲~69歲 □ (12)70歲及以上 □ (97)不知道 □ (98)拒答"
8,vA3,A3,force_apply,confirmed project rule overrides existing r1-r4,"1,88",97,98,,"1,21","97,98",,,project rule: vA3 normal range plus continuous special codes,"A3‧請問您在哪一個縣市出生? 訪員注意:若為國外出生,則請在(88)其他欄位中填寫「該國家名稱」。 □ (01)基隆市 □ (02)台北市 □ (03)新北市 □ (04)桃園市 □ (05)新竹縣 □ (06)新竹市 □ (07)苗栗縣 □ (08)南投縣 □ (09)台中市 □ (10)彰化縣 □ (11)雲林縣 □ (12)嘉義縣 □ (13)嘉義市 □ (14)台南市 □ (15)高雄市 □ (16)屏東縣 □ (17)宜蘭縣 □ (18)花蓮縣 □ (19)台東縣 □ (20)澎湖縣 □ (21)金門縣 □ (22)連江縣 □ (88)其他,請說明_________ 【開放欄位】 "
9,vA4,A4,match,,"1,2",97,98,,"1,2",97,98,,option code span,A4‧請問您現在的居住地是不是戶籍地呢? □ (01)是 □ (02)否 □ (97)不知道 □ (98)拒答
10,vA5city,A5,match,,"1,29",,,,"1,29",,,,city code rule,"A5‧那請問您的戶籍所在地是哪個縣市、哪個鄉鎮市區呢?(以身分證上的為主)【地區題】【A4答(01)、(97)、(98)者,不需回答此題】 □ (01)基隆市___區 □ (02)台北市___區 □ (03)新北市___區 □ (04)桃園市___區 □ (05)新竹市___區 □ (06)新竹縣___市(鄉鎮) □ (07)苗栗縣___市(鄉鎮) □ (08)台中市___區 □ (09)彰化縣___市(鄉鎮) □ (10)南投縣___市(鄉鎮) □ (11)雲林縣___市(鄉鎮) □ (12)嘉義市___區 □ (13)嘉義縣___市(鄉鎮) □ (14)台南市___區 □ (15)高雄市_"
11,vA5town,A5,match,,"100,103,104,105,106,108,110,111,112,114,115,116,200,201,202,203,204,205,206,207,208,209,210,211,212,220,221,222,223,224,226,227,228,231,232,233,234,235,236,237,238,239,241,242,243,244,247,248,249,251,252,253,260,261,262,263,264,265,266,267,268,269,270,272,302,303,304,305,306,307,308,310,311,312,313,314,315,320,324,325,326,327,328,330,333,334,335,336,337,338,350,351,352,353,354,356,357,358,360,361,362,363,364,365,366,367,368,369,400,401,402,403,404,406,407,408,411,412,413,414,420,421,422,423,424,426,427,428,429,432,433,434,435,436,437,438,439,500,502,503,504,505,506,507,508,509,510,511,512,513,514,515,516,520,521,522,523,524,525,526,527,528,530,540,541,542,544,545,546,551,552,553,555,556,557,558,602,603,604,605,606,607,608,611,612,613,614,615,616,621,622,623,624,625,630,631,632,633,634,635,636,637,638,640,643,646,647,648,649,651,652,653,654,655,700,701,702,704,708,709,710,711,712,713,714,715,716,717,718,719,720,721,722,723,724,725,726,727,730,731,732,733,734,735,736,737,741,742,743,744,745,800,801,802,803,804,805,806,807,811,812,813,814,815,820,821,822,823,824,825,826,827,828,829,830,831,832,833,840,842,843,844,845,846,847,848,849,851,852,880,881,882,883,884,885,890,891,892,893,894,896,900,901,902,903,904,905,906,907,908,909,911,912,913,920,921,922,923,924,925,926,927,928,929,931,932,940,941,942,943,944,945,946,947,950,951,952,953,954,955,956,957,958,959,961,962,963,964,965,966,970,971,972,973,974,975,976,977,978,979,981,982,983,3001,3002,3003,6001,6002,9997,9998,9996",,,,"100,103,104,105,106,108,110,111,112,114,115,116,200,201,202,203,204,205,206,207,208,209,210,211,212,220,221,222,223,224,226,227,228,231,232,233,234,235,236,237,238,239,241,242,243,244,247,248,249,251,252,253,260,261,262,263,264,265,266,267,268,269,270,272,302,303,304,305,306,307,308,310,311,312,313,314,315,320,324,325,326,327,328,330,333,334,335,336,337,338,350,351,352,353,354,356,357,358,360,361,362,363,364,365,366,367,368,369,400,401,402,403,404,406,407,408,411,412,413,414,420,421,422,423,424,426,427,428,429,432,433,434,435,436,437,438,439,500,502,503,504,505,506,507,508,509,510,511,512,513,514,515,516,520,521,522,523,524,525,526,527,528,530,540,541,542,544,545,546,551,552,553,555,556,557,558,602,603,604,605,606,607,608,611,612,613,614,615,616,621,622,623,624,625,630,631,632,633,634,635,636,637,638,640,643,646,647,648,649,651,652,653,654,655,700,701,702,704,708,709,710,711,712,713,714,715,716,717,718,719,720,721,722,723,724,725,726,727,730,731,732,733,734,735,736,737,741,742,743,744,745,800,801,802,803,804,805,806,807,811,812,813,814,815,820,821,822,823,824,825,826,827,828,829,830,831,832,833,840,842,843,844,845,846,847,848,849,851,852,880,881,882,883,884,885,890,891,892,893,894,896,900,901,902,903,904,905,906,907,908,909,911,912,913,920,921,922,923,924,925,926,927,928,929,931,932,940,941,942,943,944,945,946,947,950,951,952,953,954,955,956,957,958,959,961,962,963,964,965,966,970,971,972,973,974,975,976,977,978,979,981,982,983,3001,3002,3003,6001,6002,9997,9998,9996",,,,town code list,"A5‧那請問您的戶籍所在地是哪個縣市、哪個鄉鎮市區呢?(以身分證上的為主)【地區題】【A4答(01)、(97)、(98)者,不需回答此題】 □ (01)基隆市___區 □ (02)台北市___區 □ (03)新北市___區 □ (04)桃園市___區 □ (05)新竹市___區 □ (06)新竹縣___市(鄉鎮) □ (07)苗栗縣___市(鄉鎮) □ (08)台中市___區 □ (09)彰化縣___市(鄉鎮) □ (10)南投縣___市(鄉鎮) □ (11)雲林縣___市(鄉鎮) □ (12)嘉義市___區 □ (13)嘉義縣___市(鄉鎮) □ (14)台南市___區 □ (15)高雄市_"
