var,qid,qvar,option_value,is_multi,confidence,source,status,mismatch_reason,note,matched_existing_var,question_excerpt
vT1o03,T1,vT1,03,0,high,option text requires explanation,extra_proposed,Word suggests an open field not listed in Excel,,,"T1 戶抽協助者跟中選受訪者的關係(01)本人(02)家人(03)其他關係,請說明:______________________(97)不知道(98)拒答"
vY1o05,Y1,vY1,05,0,high,option text requires explanation,extra_proposed,Word suggests an open field not listed in Excel,,,"Y1 請問戶中抽樣是在哪裡進行的?(01)中選地址的家戶門口/陽台(02)中選地址的室內(03)大樓/社區的公共場所(含警衛室、一樓大廳等)(04)商店(超商、咖啡店、速食店等)(05)其他,請說明:______________________Y2您覺得戶抽協助者提供資訊的可信度為何?(01)不可信,請說明:___________(02)有些不可信,請說明:___________(03)普通(04)還算可信(05)可信【結束語】已完成本案戶抽詢問題與戶抽訪問紀錄訪問問卷開始:【開頭語】(顯示題)ZA【若受訪者已聽過前述說明,以下無須重複唸讀,請直接勾選訪函提供狀況;如不確定,請唸讀以下內容】中央研究院正在進行傳播資料庫的面訪調查,想瞭解一般民眾使用不同媒體平台的情形,以及對媒體內容與政治傳播的看法。完成訪問後,"
vY1o01,Y1,vY1,01,0,high,option text requires explanation,extra_proposed,Word suggests an open field not listed in Excel,,,"Y1 請問戶中抽樣是在哪裡進行的?(01)中選地址的家戶門口/陽台(02)中選地址的室內(03)大樓/社區的公共場所(含警衛室、一樓大廳等)(04)商店(超商、咖啡店、速食店等)(05)其他,請說明:______________________Y2您覺得戶抽協助者提供資訊的可信度為何?(01)不可信,請說明:___________(02)有些不可信,請說明:___________(03)普通(04)還算可信(05)可信【結束語】已完成本案戶抽詢問題與戶抽訪問紀錄訪問問卷開始:【開頭語】(顯示題)ZA【若受訪者已聽過前述說明,以下無須重複唸讀,請直接勾選訪函提供狀況;如不確定,請唸讀以下內容】中央研究院正在進行傳播資料庫的面訪調查,想瞭解一般民眾使用不同媒體平台的情形,以及對媒體內容與政治傳播的看法。完成訪問後,"
vY1o02,Y1,vY1,02,0,high,option text requires explanation,extra_proposed,Word suggests an open field not listed in Excel,,,"Y1 請問戶中抽樣是在哪裡進行的?(01)中選地址的家戶門口/陽台(02)中選地址的室內(03)大樓/社區的公共場所(含警衛室、一樓大廳等)(04)商店(超商、咖啡店、速食店等)(05)其他,請說明:______________________Y2您覺得戶抽協助者提供資訊的可信度為何?(01)不可信,請說明:___________(02)有些不可信,請說明:___________(03)普通(04)還算可信(05)可信【結束語】已完成本案戶抽詢問題與戶抽訪問紀錄訪問問卷開始:【開頭語】(顯示題)ZA【若受訪者已聽過前述說明,以下無須重複唸讀,請直接勾選訪函提供狀況;如不確定,請唸讀以下內容】中央研究院正在進行傳播資料庫的面訪調查,想瞭解一般民眾使用不同媒體平台的情形,以及對媒體內容與政治傳播的看法。完成訪問後,"
vY1o03,Y1,vY1,03,0,high,option text requires explanation,extra_proposed,Word suggests an open field not listed in Excel,,,"Y1 請問戶中抽樣是在哪裡進行的?(01)中選地址的家戶門口/陽台(02)中選地址的室內(03)大樓/社區的公共場所(含警衛室、一樓大廳等)(04)商店(超商、咖啡店、速食店等)(05)其他,請說明:______________________Y2您覺得戶抽協助者提供資訊的可信度為何?(01)不可信,請說明:___________(02)有些不可信,請說明:___________(03)普通(04)還算可信(05)可信【結束語】已完成本案戶抽詢問題與戶抽訪問紀錄訪問問卷開始:【開頭語】(顯示題)ZA【若受訪者已聽過前述說明,以下無須重複唸讀,請直接勾選訪函提供狀況;如不確定,請唸讀以下內容】中央研究院正在進行傳播資料庫的面訪調查,想瞭解一般民眾使用不同媒體平台的情形,以及對媒體內容與政治傳播的看法。完成訪問後,"
vZA0_1o88,ZA0_1,vZA0_1,88,0,high,option text requires explanation,extra_proposed,Word suggests an open field not listed in Excel,,,"ZA0_1 想跟您確定一下我的戶中抽樣結果是不是正確的? 請問家中具有本國國籍,年滿18歲以上(民國96年12月底以前出生者),且最近三個月內住在【貼題:中選地址】這個地址「一星期有四天以上」的人,總共有合格(Y)/男性合格(Z)/中選(X)【貼題:戶中抽樣結果】,請問這位是您嗎?(01)戶抽人數正確(02)戶抽人數不正確,請重抽〈請停止訪問並點選02後,在下一題點選中止代碼609,並到戶中抽樣視窗重新進行抽樣〉【與SFO選項01互斥】訪問方式說明:SF0這次訪問是採用一問一答的方式,訪問包含八成的傳播媒體使用,與兩成的政治傳播題目,題目都是選擇題,我們會將題目仔細唸給您聽,您再告訴我們您覺得最合適的答案是哪一項。(不顯示選項編號)(01)完成說明,開始訪問A、基本狀況A1‧請問您是民國哪一年出生的?(出生年以"
vZA0_1o29,ZA0_1,vZA0_1,29,0,high,option text requires explanation,extra_proposed,Word suggests an open field not listed in Excel,,,"ZA0_1 想跟您確定一下我的戶中抽樣結果是不是正確的? 請問家中具有本國國籍,年滿18歲以上(民國96年12月底以前出生者),且最近三個月內住在【貼題:中選地址】這個地址「一星期有四天以上」的人,總共有合格(Y)/男性合格(Z)/中選(X)【貼題:戶中抽樣結果】,請問這位是您嗎?(01)戶抽人數正確(02)戶抽人數不正確,請重抽〈請停止訪問並點選02後,在下一題點選中止代碼609,並到戶中抽樣視窗重新進行抽樣〉【與SFO選項01互斥】訪問方式說明:SF0這次訪問是採用一問一答的方式,訪問包含八成的傳播媒體使用,與兩成的政治傳播題目,題目都是選擇題,我們會將題目仔細唸給您聽,您再告訴我們您覺得最合適的答案是哪一項。(不顯示選項編號)(01)完成說明,開始訪問A、基本狀況A1‧請問您是民國哪一年出生的?(出生年以"
vZA0_1o02,ZA0_1,vZA0_1,02,0,high,option text requires explanation,extra_proposed,Word suggests an open field not listed in Excel,,,"ZA0_1 想跟您確定一下我的戶中抽樣結果是不是正確的? 請問家中具有本國國籍,年滿18歲以上(民國96年12月底以前出生者),且最近三個月內住在【貼題:中選地址】這個地址「一星期有四天以上」的人,總共有合格(Y)/男性合格(Z)/中選(X)【貼題:戶中抽樣結果】,請問這位是您嗎?(01)戶抽人數正確(02)戶抽人數不正確,請重抽〈請停止訪問並點選02後,在下一題點選中止代碼609,並到戶中抽樣視窗重新進行抽樣〉【與SFO選項01互斥】訪問方式說明:SF0這次訪問是採用一問一答的方式,訪問包含八成的傳播媒體使用,與兩成的政治傳播題目,題目都是選擇題,我們會將題目仔細唸給您聽,您再告訴我們您覺得最合適的答案是哪一項。(不顯示選項編號)(01)完成說明,開始訪問A、基本狀況A1‧請問您是民國哪一年出生的?(出生年以"
vZA0_1o13,ZA0_1,vZA0_1,13,0,high,option text requires explanation,extra_proposed,Word suggests an open field not listed in Excel,,,"ZA0_1 想跟您確定一下我的戶中抽樣結果是不是正確的? 請問家中具有本國國籍,年滿18歲以上(民國96年12月底以前出生者),且最近三個月內住在【貼題:中選地址】這個地址「一星期有四天以上」的人,總共有合格(Y)/男性合格(Z)/中選(X)【貼題:戶中抽樣結果】,請問這位是您嗎?(01)戶抽人數正確(02)戶抽人數不正確,請重抽〈請停止訪問並點選02後,在下一題點選中止代碼609,並到戶中抽樣視窗重新進行抽樣〉【與SFO選項01互斥】訪問方式說明:SF0這次訪問是採用一問一答的方式,訪問包含八成的傳播媒體使用,與兩成的政治傳播題目,題目都是選擇題,我們會將題目仔細唸給您聽,您再告訴我們您覺得最合適的答案是哪一項。(不顯示選項編號)(01)完成說明,開始訪問A、基本狀況A1‧請問您是民國哪一年出生的?(出生年以"
vZA0_1o01,ZA0_1,vZA0_1,01,0,high,option text requires explanation,extra_proposed,Word suggests an open field not listed in Excel,,,"ZA0_1 想跟您確定一下我的戶中抽樣結果是不是正確的? 請問家中具有本國國籍,年滿18歲以上(民國96年12月底以前出生者),且最近三個月內住在【貼題:中選地址】這個地址「一星期有四天以上」的人,總共有合格(Y)/男性合格(Z)/中選(X)【貼題:戶中抽樣結果】,請問這位是您嗎?(01)戶抽人數正確(02)戶抽人數不正確,請重抽〈請停止訪問並點選02後,在下一題點選中止代碼609,並到戶中抽樣視窗重新進行抽樣〉【與SFO選項01互斥】訪問方式說明:SF0這次訪問是採用一問一答的方式,訪問包含八成的傳播媒體使用,與兩成的政治傳播題目,題目都是選擇題,我們會將題目仔細唸給您聽,您再告訴我們您覺得最合適的答案是哪一項。(不顯示選項編號)(01)完成說明,開始訪問A、基本狀況A1‧請問您是民國哪一年出生的?(出生年以"
