project,status,qid,excel_sources,word_excerpt
消費者,word_missing_in_excel,2,,"2接著,想請問您「一年後」生活成本預期的相關問題(此部分若您不知道明確金額或方向,可用大概的數字及直覺回答)"
消費者,word_missing_in_excel,3,,"3物價預期的相關問題(此部分若您不知道明確方向,可用直覺回答)"
消費者,word_missing_in_excel,4,,"4利率預期的相關問題(此部分若您不知道明確方向,可用直覺回答)"
消費者,word_missing_in_excel,5,,5政策相關問題
消費者,word_missing_in_excel,6,,6基本資料
消費者,word_missing_in_excel,Q12C,,"Q12CK請問您預計在「一年後」,個人(或同住家人的家庭)每個月在「生活經常性的整體開銷」(包含房租、貸款、水電、吃飯、交通、娛樂等等),與目前(貼CKQ4答案)相比,會有什麼變化?【邏輯:Q1+Q2+Q3>Q4顯示此題,調查結束後答案併回Q12,此題變項刪除不提供】 (1)增加[續答Q13_1CK] (2)減少[跳答Q13_2CK] (3)大致不變[跳答Q14]"
消費者,word_missing_in_excel,Q13_1C,,"Q13_1CK承上題,您預期一年後生活經常性的整體開銷會增加,請問相較於目前(貼CKQ4答案),每個月大約會增加多少錢?(本題答案應為大於等於1的整數)[跳答Q14]【填答範圍設定大於等於1,調查結束後答案併回Q13_1,此題變項刪除不提供】 每個月增加_________元(請填寫差額)"
消費者,word_missing_in_excel,Q13_2C,,"Q13_2CK承上題,您預期一年後生活經常性的整體開銷會減少,請問相較於目前(貼CKQ4答案),每個月大約會減少多少錢?(本題答案應為大於等於1的整數)【填答範圍設定大於等於1,且不可大於CKQ4;調查結束後答案併回Q13_2,此題變項刪除不提供】 每個月減少_________元(請填寫差額)"
消費者,excel_not_found_in_word,Q12CK,all; 數值題101-200,
消費者,excel_not_found_in_word,Q13_1CK,all; 數值題101-200,
消費者,excel_not_found_in_word,Q13_2CK,all; 數值題101-200,
消費者,excel_not_found_in_word,Q20_1A,數值題101-200,
消費者,excel_not_found_in_word,Q20_2A,數值題101-200,
消費者,excel_not_found_in_word,Q27city_oth,all; 開放欄位201-300,
消費者,covered,1,數值題101-200,
消費者,covered,CK17_1A,all; 數值題101-200; 開放欄位201-300,
消費者,covered,CK17_2A,all; 數值題101-200; 開放欄位201-300,
消費者,covered,CKQ4,all; 數值題101-200,
消費者,covered,Q1,all; 數值題101-200,
消費者,covered,Q2,all; 數值題101-200,
消費者,covered,Q3,all; 數值題101-200,
消費者,covered,Q4,all; 數值題101-200,
消費者,covered,Q5,all; 數值題101-200,
消費者,covered,Q6,all; 數值題101-200,
消費者,covered,Q7_1,all; 數值題101-200,
消費者,covered,Q7_2,all; 數值題101-200,
消費者,covered,Q8,all; 數值題101-200,
消費者,covered,Q9_1,all; 數值題101-200,
消費者,covered,Q9_2,all; 數值題101-200,
消費者,covered,Q10,all; 數值題101-200,
消費者,covered,Q11_1,all; 數值題101-200,
消費者,covered,Q11_2,all; 數值題101-200,
消費者,covered,Q12,all; 數值題101-200,
消費者,covered,Q13_1,all; 數值題101-200,
消費者,covered,Q13_2,all; 數值題101-200,
消費者,covered,Q14,all; 數值題101-200,
消費者,covered,Q15_1,all; 數值題101-200,
消費者,covered,Q15_2,all; 數值題101-200,
消費者,covered,Q16,all; 數值題101-200,
消費者,covered,Q17_1,all; 數值題101-200,
消費者,covered,Q17_1A,all; 數值題101-200,
消費者,covered,Q17_2,all; 數值題101-200,
消費者,covered,Q17_2A,all; 數值題101-200,
消費者,covered,Q18,all; 數值題101-200; 開放欄位201-300,
消費者,covered,Q19,all; 數值題101-200,
消費者,covered,Q20_1,all; 數值題101-200,
消費者,covered,Q20_2,all; 數值題101-200,
消費者,covered,Q21,all; 數值題101-200,
消費者,covered,Q22,all; 數值題101-200,
消費者,covered,Q23,all; 數值題101-200,
消費者,covered,Q24,all; 數值題101-200; 複選題_301-400; 複選題內_互斥; 複選題變項清單,
消費者,covered,Q25,all; 數值題101-200,
消費者,covered,Q26_1,all; 數值題101-200,
消費者,covered,Q26_2,all; 數值題101-200,
消費者,covered,Q27,all; 數值題101-200,
消費者,covered,Q28,all; 數值題101-200,
消費者,covered,Q29,all; 數值題101-200,
消費者,covered,Q30,all; 數值題101-200,
消費者,covered,Q31,all; 數值題101-200,
消費者,covered,Q32,all; 數值題101-200,
消費者2,excel_not_found_in_word,B7DR,all; 數值題101-200; 邏輯組:不應答; 邏輯組:應答; 邏輯組:限制,
消費者2,excel_not_found_in_word,B7UR,all; 數值題101-200; 邏輯組:不應答; 邏輯組:應答,
消費者2,excel_not_found_in_word,C1D1R,all; 數值題101-200; 邏輯組:不應答; 邏輯組:應答; 開放欄位201-250,
消費者2,excel_not_found_in_word,C1U4,all; 數值題101-200; 邏輯組:不應答; 邏輯組:應答,
消費者2,excel_not_found_in_word,C1U4R,all; 數值題101-200; 邏輯組:不應答; 邏輯組:應答,
消費者2,excel_not_found_in_word,C1U5R,all; 開放欄位201-250,
消費者2,excel_not_found_in_word,C2,all; 數值題101-200; 邏輯組:條件,
消費者2,excel_not_found_in_word,C2D,all; 數值題101-200; 邏輯組:不應答; 邏輯組:應答; 開放欄位201-250,
消費者2,excel_not_found_in_word,C2D1R,all; 數值題101-200; 邏輯組:不應答; 邏輯組:應答; 開放欄位201-250,
消費者2,excel_not_found_in_word,C2U,all; 數值題101-200; 邏輯組:不應答; 邏輯組:應答; 開放欄位201-250,
消費者2,excel_not_found_in_word,C2U7R,all; 數值題101-200; 邏輯組:不應答; 邏輯組:應答; 開放欄位201-250,
消費者2,excel_not_found_in_word,F3,all; 數值題101-200,
消費者2,excel_not_found_in_word,G0city_oth,all; 開放欄位201-250,
消費者2,covered,A0,all; 數值題101-200; 邏輯組:不應答; 邏輯組:應答,
消費者2,covered,A1,all; 數值題101-200; 邏輯組:條件; 邏輯組:限制,
消費者2,covered,A2,all; 數值題101-200; 邏輯組:條件; 邏輯組:限制,
消費者2,covered,A3,all; 數值題101-200; 邏輯組:條件; 邏輯組:限制,
消費者2,covered,A4,all; 數值題101-200; 邏輯組:條件; 邏輯組:限制,
消費者2,covered,A5,all; 數值題101-200; 邏輯組:條件; 邏輯組:限制,
消費者2,covered,A6,all; 數值題101-200; 邏輯組:條件; 邏輯組:限制,
消費者2,covered,A7,all; 數值題101-200; 邏輯組:不應答; 邏輯組:應答; 邏輯組:條件; 邏輯組:限制,
消費者2,covered,A7R,all; 數值題101-200; 邏輯組:不應答; 邏輯組:應答; 邏輯組:條件; 邏輯組:限制,
