status,row_source,qid,condition_text,condition,required_vars,forbidden_vars,limit,reason,raw_text
review,paragraph:29,T0_1,T0答(02)顯示此題,,,,,restriction/check/display cue needs rule-specific handling,T0_1‧請問他/她/您(中選受訪者)有沒有「視力上完全看不到」或「聽力完全聽不到」的狀況?【T0答(02)顯示此題】
review,paragraph:62,Y0_1,跳至Y1,,,,,restriction/check/display cue needs rule-specific handling,(01)只有一戶【跳至Y1】
review,paragraph:87,Y2,"若受訪者已聽過前述說明,以下無須重複唸讀,請直接勾選訪函提供狀況;如不確定,請唸讀以下內容",,,,,"cannot parse condition atom: 若受訪已聽過前述說明,以下無須重複唸讀,請直接勾選訪函提供狀況;如不確定,請唸讀以下內容","ZA【若受訪者已聽過前述說明,以下無須重複唸讀,請直接勾選訪函提供狀況;如不確定,請唸讀以下內容】"
apply,paragraph:112,A2,"A1答(997)或(998)者,才需回答此題","vA1 in 997,998",vA2,,,,"A2‧請問您今年大概幾歲?【A1答(997)或(998)者,才需回答此題】"
apply,paragraph:166,A5,"A4答(01)、(97)、(98)者,不需回答此題","vA4 in 1,97,98",,"vA5city,vA5town",,,"A5‧那請問您的戶籍所在地是哪個縣市、哪個鄉鎮市區呢?(以身分證上的為主)【地區題】【A4答(01)、(97)、(98)者,不需回答此題】"
review,paragraph:253,O1_1,"A9答(01)者,選項互斥",vA9 in 1,,,,restriction/check/display cue needs rule-specific handling,"□ (01) 是,日間部【A9答(01)者,選項互斥】"
review,paragraph:254,O1_1,"A9答(01)者,選項互斥",vA9 in 1,,,,restriction/check/display cue needs rule-specific handling,"□ (02) 是,夜間部/進修部 【A9答(01)者,選項互斥】"
review,paragraph:255,O1_1,"A9答(01)者,選項互斥",vA9 in 1,,,,restriction/check/display cue needs rule-specific handling,"□ (03) 是,在職專班【A9答(01)者,選項互斥】"
review,paragraph:256,O1_1,"A9答(01)者,選項互斥",vA9 in 1,,,,restriction/check/display cue needs rule-specific handling,"□ (04) 是,空中大學【A9答(01)者,選項互斥】"
review,paragraph:276,O1,"O1_1答(05)者,選項互斥",vO1_1 in 5,,,,restriction/check/display cue needs rule-specific handling,"□ (14)沒有工作:正在就學中【O1_1答(05)者,選項互斥】"
apply,paragraph:283,O2,"O1答(01)-(05)、(88)者,才需回答此題","vO1 in 1,2,3,4,5,88",vO2,,,,"O2‧請問您的行業:(卡4)【O1答(01)-(05)、(88)者,才需回答此題】"
apply,paragraph:313,O3,"O1答(01)-(05)、(88)者,才需回答此題","vO1 in 1,2,3,4,5,88",vO3,,,,"O3‧請問您現在的工作屬於哪一類?(卡5)【O1答(01)-(05)、(88)者,才需回答此題】"
apply,paragraph:327,O4,"O1答(01)-(05)、(88)者,且O3答(01)、(03)-(06)、(88),需回答此題","vO1 in 1,2,3,4,5,88 & vO3 in 3,4,5,6,1,88",vO4,,,,"5000、9991、9997、9998】【O1答(01)-(05)、(88)者,且O3答(01)、(03)-(06)、(88),需回答此題】"
apply,paragraph:354,D2,"D1答(01)、(02)者,需回答此題","vD1 in 1,2",vD2,,,,"D2‧請問您每週平均有幾天會使用手機?【數值題,可輸入小數點,範圍為0.5、1、1.5、2、2.5、3、3.5、4、4.5、5、5.5、6、6.5、7、95、97、98】【D1答(01)、(02)者,需回答此題】"
apply,paragraph:367,D3,"D1答(01)、(02)者,需回答此題","vD1 in 1,2",vD3,,,,"D3‧在您有使用手機的那一天,您一整天大概會使用多久?使用手機是指「講電話」或「眼睛有看著手機螢幕」,例如使用LINE、看影片或照片等都算。【數值題,範圍:0001-2359、9797、9898】【D1答(01)、(02)者,需回答此題】"
apply,paragraph:382,D4,"D1答(01)、(02)者,需回答此題","vD1 in 1,2","vD4sD4,vD4sD5,vD4sD6,vD4sD7,vD4sD8",,,,"D4-D8.請問下面這些事情多常發生在您身上?(卡6)【D1答(01)、(02)者,需回答此題】"
apply,paragraph:429,E17,"K1答(01)者,或K2答(13)者,才需回答此題",(vK1m01 in 1 | vK2m13 in 1),vE17,,,,"E17‧請問您平常主要是透過手機、平板或電腦使用LINE?【K1答(01)者,或K2答(13)者,才需回答此題】"
review,paragraph:432,E17,與D1答(03)互斥,vD1 in 3,,,,restriction/check/display cue needs rule-specific handling,□ (01)手機【與D1答(03)互斥】
apply,paragraph:439,KLI1,"K1答(01)者,或K2答(13)者,才需回答此題",(vK1m01 in 1 | vK2m13 in 1),vKLI1,,,,"KLI1‧請問您每週平均有幾天使用LINE?【數值題,可輸入小數點,範圍為0.5、1、1.5、2、2.5、3、3.5、4、4.5、5、5.5、6、6.5、7、95、97、98】【K1答(01)者,或K2答(13)者,才需回答此題】"
apply,paragraph:453,KLI2,"K1答(01)者,或K2答(13)者,才需回答此題",(vK1m01 in 1 | vK2m13 in 1),vKLI2,,,,"KLI2‧在您有使用LINE的那一天,您一整天大概會使用多久(要真的有在用LINE傳訊息、通話、看LINE Today的時間)?【數值題,範圍:0001-2359、9797、9898】【K1答(01)者,或K2答(13)者,才需回答此題】"
apply,paragraph:468,KFB1,"K1答(02)者,或K2答(01)者,才需回答此題",(vK1m02 in 1 | vK2m01 in 1),vKFB1,,,,"KFB1‧請問您每週平均有幾天使用臉書(Facebook),包含臉書聊天室(FB Messenger)也算?【數值題,可輸入小數點,範圍為0.5、1、1.5、2、2.5、3、3.5、4、4.5、5、5.5、6、6.5、7、95、97、98】【K1答(02)者,或K2答(01)者,才需回答此題】"
apply,paragraph:482,KFB2,"K1答(02)者,或K2答(01)者,才需回答此題",(vK1m02 in 1 | vK2m01 in 1),vKFB2,,,,"KFB2‧在您有使用臉書(Facebook),包含臉書聊天室(FB Messenger)的那一天,您一整天大概會使用多久(真的有在用的時間)?【數值題,範圍:0001-2359、9797、9898】【K1答(02)者,或K2答(01)者,才需回答此題】"
apply,paragraph:496,KFB3,"K1答(02)者,或K2答(01)者,才需回答此題",(vK1m02 in 1 | vK2m01 in 1),"vKFB3m01,vKFB3m02,vKFB3m03,vKFB3m04,vKFB3m05,vKFB3m06,vKFB3m07,vKFB3m08,vKFB3m09,vKFB3m10,vKFB3m11,vKFB3m12,vKFB3m13,vKFB3m14,vKFB3m15,vKFB3m16,vKFB3m17,vKFB3m88",,,,"KFB3‧請問您使用臉書(Facebook)主要的原因或動機是什麼呢?(可多選)(卡9)【K1答(02)者,或K2答(01)者,才需回答此題】"
apply,paragraph:499,KFB4,"K1答(02)者,或K2答(01)者,才需回答此題",(vK1m02 in 1 | vK2m01 in 1),"vKFB4m01,vKFB4m02,vKFB4m03,vKFB4m04,vKFB4m05,vKFB4m06,vKFB4m07,vKFB4m08,vKFB4m09,vKFB4m10,vKFB4m11,vKFB4m12,vKFB4m13,vKFB4m14,vKFB4m15,vKFB4m16,vKFB4m17,vKFB4m18,vKFB4m88",,,,"KFB4‧請問您平常會在臉書(Facebook)上做哪些事情呢?(可多選)(卡10)【K1答(02)者,或K2答(01)者,才需回答此題】"
review,paragraph:517,KFB4,"資料處理:K1答(02)者,選項(18)必選",vK1m02 in 1,,,,restriction/check/display cue needs rule-specific handling,"□ (18)傳送訊息(文字、圖片、語音)或視訊【資料處理:K1答(02)者,選項(18)必選】"
apply,paragraph:522,KIG1,"K1答(03)者,或K2答(02)者,才需回答此題",(vK1m03 in 1 | vK2m02 in 1),vKIG1,,,,"KIG1‧請問您每週平均有幾天使用Instagram(IG)?【數值題,可輸入小數點,範圍為0.5、1、1.5、2、2.5、3、3.5、4、4.5、5、5.5、6、6.5、7、95、97、98】【K1答(03)者,或K2答(02)者,才需回答此題】"
apply,paragraph:535,KIG2,"K1答(03)者,或K2答(02)者,才需回答此題",(vK1m03 in 1 | vK2m02 in 1),vKIG2,,,,"KIG2‧在您有使用Instagram(IG)的那一天,您一整天大概會使用多久(真的有在用Instagram(IG)的時間)?【數值題,範圍:0001-2359、9797、9898】【K1答(03)者,或K2答(02)者,才需回答此題】"
apply,paragraph:547,KIG3,"K1答(03)者,或K2答(02)者,才需回答此題",(vK1m03 in 1 | vK2m02 in 1),"vKIG3m01,vKIG3m02,vKIG3m03,vKIG3m04,vKIG3m05,vKIG3m06,vKIG3m07,vKIG3m08,vKIG3m09,vKIG3m10,vKIG3m11,vKIG3m12,vKIG3m13,vKIG3m14,vKIG3m15,vKIG3m16,vKIG3m17,vKIG3m88",,,,"KIG3‧請問您使用Instagram(IG)主要的原因或動機是什麼呢?(可多選)(卡11)【K1答(03)者,或K2答(02)者,才需回答此題】"
apply,paragraph:569,KIG4,"K1答(03)者,或K2答(02)者,才需回答此題",(vK1m03 in 1 | vK2m02 in 1),"vKIG4m01,vKIG4m02,vKIG4m03,vKIG4m04,vKIG4m05,vKIG4m06,vKIG4m07,vKIG4m08,vKIG4m09,vKIG4m10,vKIG4m11,vKIG4m12,vKIG4m13,vKIG4m14,vKIG4m88",,,,"KIG4‧請問您平常會在Instagram(IG)上做哪些事情呢?(可多選)(卡12)【K1答(03)者,或K2答(02)者,才需回答此題】"
review,paragraph:583,KIG4,"資料處理:K1答(03)者,選項(14)必選",vK1m03 in 1,,,,restriction/check/display cue needs rule-specific handling,"□ (14)傳送訊息(文字、圖片、語音)或視訊【資料處理:K1答(03)者,選項(14)必選】"
apply,paragraph:588,KTT1,"K1答(11)者,或K2答(07)者,才需回答此題",(vK1m11 in 1 | vK2m07 in 1),vKTT1,,,,"KTT1‧請問您每週平均有幾天使用抖音(TikTok)?【數值題,可輸入小數點,範圍為0.5、1、1.5、2、2.5、3、3.5、4、4.5、5、5.5、6、6.5、7、95、97、98】【K1答(11)者,或K2答(07)者,才需回答此題】"
apply,paragraph:601,KTT2,"K1答(11)者,或K2答(07)者,才需回答此題",(vK1m11 in 1 | vK2m07 in 1),vKTT2,,,,"KTT2‧在您有使用抖音(TikTok)的那一天,您一整天大概會使用多久(真的有在用抖音(TikTok)的時間)?【數值題,範圍:0001-2359、9797、9898】【K1答(11)者,或K2答(07)者,才需回答此題】"
apply,paragraph:614,KTT3,"K1答(11)者,或K2答(07)者,才需回答此題",(vK1m11 in 1 | vK2m07 in 1),"vKTT3m01,vKTT3m02,vKTT3m03,vKTT3m04,vKTT3m05,vKTT3m06,vKTT3m07,vKTT3m08,vKTT3m09,vKTT3m10,vKTT3m11,vKTT3m12,vKTT3m13,vKTT3m14,vKTT3m15,vKTT3m16,vKTT3m88",,,,"KTT3‧請問您使用抖音(TikTok)主要的原因或動機是什麼呢?(可多選)(卡13)【K1答(11)者,或K2答(07)者,才需回答此題】"
apply,paragraph:635,KTT4,"K1答(11)者,或K2答(07)者,才需回答此題",(vK1m11 in 1 | vK2m07 in 1),"vKTT4m01,vKTT4m02,vKTT4m03,vKTT4m04,vKTT4m05,vKTT4m06,vKTT4m07,vKTT4m08,vKTT4m09,vKTT4m10,vKTT4m11,vKTT4m12,vKTT4m13,vKTT4m14,vKTT4m88",,,,"KTT4‧請問您平常會在抖音(TikTok)上做哪些事情呢?(可多選)(卡14)【K1答(11)者,或K2答(07)者,才需回答此題】"
apply,paragraph:654,KTT5,"K1答(11)者,或K2答(07)者,才需回答此題",(vK1m11 in 1 | vK2m07 in 1),"vKTT5m01,vKTT5m02,vKTT5m03,vKTT5m04,vKTT5m05,vKTT5m06,vKTT5m07,vKTT5m08,vKTT5m09,vKTT5m10,vKTT5m11,vKTT5m12,vKTT5m88",,,,"KTT5‧請問您平常會在抖音(TikTok)上看什麼內容?(可多選)(卡15)【K1答(11)者,或K2答(07)者,才需回答此題】"
apply,paragraph:673,P5_1,"K1答(13)者,或K2答(11)者,才需回答此題",(vK1m13 in 1 | vK2m11 in 1),vP5_1,,,,"【陶振超委員】P5_1‧請問您每週平均有幾天使用Threads?【數值題,可輸入小數點,範圍為0.5、1、1.5、2、2.5、3、3.5、4、4.5、5、5.5、6、6.5、7、95、97、98】【K1答(13)者,或K2答(11)者,才需回答此題】"
apply,paragraph:683,P5_2,"K1答(13)者,或K2答(11)者,才需回答此題",(vK1m13 in 1 | vK2m11 in 1),vP5_2,,,,"【陶振超委員】P5_2‧在您有使用Threads的那一天,您一整天大概會使用多久(真的有在用Threads的時間)?【數值題,範圍:0001-2359、9797、9898】【K1答(13)者,或K2答(11)者,才需回答此題】"
apply,paragraph:718,E18,"K3答(01)者,才需回答此題",vK3m01 in 1,vE18,,,,"E18‧請問您平常主要是透過哪種方式使用YouTube?(卡17)【K3答(01)者,才需回答此題】"
review,paragraph:720,E18,與D1答(03)互斥,vD1 in 3,,,,restriction/check/display cue needs rule-specific handling,□ (01)手機【與D1答(03)互斥】
review,paragraph:723,E18,開放填答,,,,,restriction/check/display cue needs rule-specific handling,"□ (04)智慧型電視/連網電視□ (88)其他,請說明:_________【開放填答】"
apply,paragraph:728,KYT1,"K3答(01)者,才需回答此題",vK3m01 in 1,vKYT1,,,,"KYT1‧請問您每週平均有幾天使用YouTube?【數值題,可輸入小數點,範圍為0.5、1、1.5、2、2.5、3、3.5、4、4.5、5、5.5、6、6.5、7、95、97、98】【K3答(01)者,才需回答此題】"
apply,paragraph:743,KYT2,"K3答(01)者,才需回答此題",vK3m01 in 1,vKYT2,,,,"KYT2‧在您有使用YouTube的那一天,您一整天大概會使用多久(真的有在用YouTube的時間)?【數值題,範圍:0001-2359、9797、9898】【K3答(01)者,才需回答此題】"
