row,var,status,mismatch_reason,existing_in_or_not,proposed_in_or_not,existing_range,proposed_range,alternative_range,existing_decimal_check,proposed_decimal_check,decimal_note,question_excerpt
2,vQ27city,match,,range,range,"range(vQ27city,1,29)","range(vQ27city,1,29)","range(vQ27city,1,29)",,,,
3,vEND1,review,in_or_not differs; range differs,range,any,"range(vEND1,99969696969696,99969696969696)","any(vEND1,99969696969696)","range(vEND1,99969696969696,99969696969696)",,,,
4,v1,review,in_or_not differs; range differs,range,any,"range(v1,1,1)","any(v1,1)","range(v1,1,1)",,,,
5,vQ1,match,,range,range,"range(vQ1,0,999999999)","range(vQ1,0,999999999)","range(vQ1,0,999999999)",,,,"Q1請問您個人(或同住家人的家庭)每個月的房租或房屋貸款,大約是多少元?(本題答案應為大於等於0的整數)【填答範圍設定大於等於0】____________元"
6,vQ2,match,,range,range,"range(vQ2,0,999999999)","range(vQ2,0,999999999)","range(vQ2,0,999999999)",,,,"Q2請問您個人(或同住家人的家庭)每個月在食物經常性開銷,包含外食與自己煮的,大約是多少元?(本題答案應為大於等於0的整數)【填答範圍設定大於等於0】____________元"
7,vQ3,match,,range,range,"range(vQ3,0,999999999)","range(vQ3,0,999999999)","range(vQ3,0,999999999)",,,,"Q3請問您個人(或同住家人的家庭)每個月在交通與能源經常性開銷,包含油錢、通勤搭車、水電瓦斯等,大約是多少元?(本題答案應為大於等於0的整數)【填答範圍設定大於等於0】____________元"
8,vQ4,match,,range,range,"range(vQ4,0,999999999)","range(vQ4,0,999999999)","range(vQ4,0,999999999)",,,,"Q4請問您個人(或同住家人的家庭)每個月在生活經常性的整體開銷,包含房租、貸款、水電、吃飯、交通、娛樂等等,大約是多少元?(本題答案應為大於等於0的整數)【填答範圍設定大於等於0】____________元CKQ4請注意!「生活經常性的整體性開銷:(貼Q4答案)」應等於或大於下列三項的總和!1.房租或房屋貸款:(貼Q1答案)2.食物經常性開銷:(貼Q2答案)3.交通與能源經常性開銷:(貼Q3答案)再請您協助回想並填答。請問您個人(或同住家人的家庭)每個月在「生活經常性的整體開銷」,包含房租、貸款、水電、吃飯、交通、娛樂等等,大約是多少元?【邏輯:Q1+Q2+Q3>Q4時進入此題;填答範圍設定大於等於1。調查結束後答案併回Q4題,此題變項刪除不提供。】每月_____元END2感謝您的參與,由於您的填答非屬本次的研"
9,vCKQ4,match,,range,range,"range(vCKQ4,1,999999999)","range(vCKQ4,1,999999999)","range(vCKQ4,1,999999999)",,,,"Q4請問您個人(或同住家人的家庭)每個月在生活經常性的整體開銷,包含房租、貸款、水電、吃飯、交通、娛樂等等,大約是多少元?(本題答案應為大於等於0的整數)【填答範圍設定大於等於0】____________元CKQ4請注意!「生活經常性的整體性開銷:(貼Q4答案)」應等於或大於下列三項的總和!1.房租或房屋貸款:(貼Q1答案)2.食物經常性開銷:(貼Q2答案)3.交通與能源經常性開銷:(貼Q3答案)再請您協助回想並填答。請問您個人(或同住家人的家庭)每個月在「生活經常性的整體開銷」,包含房租、貸款、水電、吃飯、交通、娛樂等等,大約是多少元?【邏輯:Q1+Q2+Q3>Q4時進入此題;填答範圍設定大於等於1。調查結束後答案併回Q4題,此題變項刪除不提供。】每月_____元END2感謝您的參與,由於您的填答非屬本次的研"
10,vEND2,review,in_or_not differs; range differs,range,any,"range(vEND2,99969696969696,99969696969696)","any(vEND2,99969696969696)","range(vEND2,99969696969696,99969696969696)",,,,
11,vQ5,match,,range,range,"range(vQ5,0,999999999)","range(vQ5,0,999999999)","range(vQ5,0,999999999)",,,,"Q5請問您個人(或同住家人的家庭)每個月在保健醫療的開銷,包含醫院、診所醫療費用、藥品費、醫療器材與設備、個人醫療保險等,大約是多少元?(本題答案應為大於等於0的整數)【填答範圍設定大於等於0】[說明:不含每月健保費、居家照護(長照)生活照顧費用等沒有醫療行為的開銷;醫療器材與設備如輪椅、助行器、血壓計等設備購置或租賃費用]____________元2接著,想請問您「一年後」生活成本預期的相關問題(此部分若您不知道明確金額或方向,可用大概的數字及直覺回答)"
12,vQ6,match,,range,range,"range(vQ6,1,3)","range(vQ6,1,3)","range(vQ6,1,3)",,,,"Q6請問您預計在「一年後」,個人(或同住家人的家庭)每個月在「房租或房屋貸款」,與目前(貼Q1答案)相比,會有什麼變化?【邏輯:Q1填答0,此題不可回答減少】(1)增加[續答Q7_1]   (2)減少[跳答Q7_2]   (3)大致不變[跳答Q8]"
13,vQ7_1,match,,range,range,"range(vQ7_1,1,999999999,9999999996,9999999996)","range(vQ7_1,1,999999999,9999999996,9999999996)","(range(vQ7_1,1,999999999) | range(vQ7_1,9999999996,9999999996))",,,,"Q7_1承上題,您預期一年後房租或房屋貸款會增加,請問相較於目前(貼Q1答案),每個月大約會增加多少元?(本題答案應為大於等於1的整數)[跳答Q8]【填答範圍設定大於等於1】每個月增加_________元(請填寫差額)"
14,vQ7_2,match,,range,range,"range(vQ7_2,1,999999999,9999999996,9999999996)","range(vQ7_2,1,999999999,9999999996,9999999996)","(range(vQ7_2,1,999999999) | range(vQ7_2,9999999996,9999999996))",,,,"Q7_2承上題,您預期一年後房租或房屋貸款會減少,請問相較於目前(貼Q1答案),每個月大約會減少多少元?(本題答案應為大於等於1的整數)【填答範圍設定大於等於1,且不可大於Q1】每個月減少_________元(請填寫差額)"
15,vQ8,match,,range,range,"range(vQ8,1,3)","range(vQ8,1,3)","range(vQ8,1,3)",,,,"Q8請問您預計在「一年後」,個人(或同住家人的家庭)每個月在「食物經常性開銷」,與目前(貼Q2答案)相比,會有什麼變化?【邏輯:Q2填答0,此題不可回答減少】(1)增加[續答Q9_1]   (2)減少[跳答Q9_2]   (3)大致不變[跳答Q10]"
16,vQ9_1,match,,range,range,"range(vQ9_1,1,999999999,9999999996,9999999996)","range(vQ9_1,1,999999999,9999999996,9999999996)","(range(vQ9_1,1,999999999) | range(vQ9_1,9999999996,9999999996))",,,,"Q9_1承上題,您預期一年後食物經常性開銷會增加,請問相較於目前(貼Q2答案),每個月大約會增加多少元?(本題答案應為大於等於1的整數)[跳答Q10]【填答範圍設定大於等於1】每個月增加_________元(請填寫差額)"
17,vQ9_2,match,,range,range,"range(vQ9_2,1,999999999,9999999996,9999999996)","range(vQ9_2,1,999999999,9999999996,9999999996)","(range(vQ9_2,1,999999999) | range(vQ9_2,9999999996,9999999996))",,,,"Q9_2承上題,您預期一年後食物經常性開銷會減少,請問相較於目前(貼Q2答案),每個月大約會減少多少元?(本題答案應為大於等於1的整數)【填答範圍設定大於等於1,且不可大於Q2】每個月減少_________元(請填寫差額)"
