var,qid,qvar,option_value,is_multi,confidence,source,status,mismatch_reason,note,matched_existing_var,question_excerpt
v2o14,2,v2,14,0,high,option text requires explanation,match,,,v2o14,"2 請問您最常使用哪種交通工具?【包含搭乘或自行駕駛。以搭乘距離較長的交通工具優先,如果距離差不多,以搭乘時間比較長的優先。如果時間與距離無法回答,以交通成本高的為主】(01) 步行(02) 腳踏車 (含YouBike)(03) 公車(含九人座以上巴士)(04) 捷運(05) 輕軌列車(06) 火車(07) 高鐵(08) 機車(09) 電動機車(10) 汽車(11) 電動汽車(12) 計程車(13) Uber(14) 其他,請說明 __________"
v13o05,13,v13,05,0,high,option text requires explanation,match,,,v13o05,"13 請問為了改善空氣污染,您認為下列何者需要最優先管制?(01) 大工廠(02) 汽機車(03) 柴油交通工具(04) 燃煤火力發電(05) 其他,請說明______ "
v19o06,19,v19,06,0,high,option text requires explanation,match,,,v19o06,"19 請問您知不知道臺灣目前核電廠的總發電量,佔全部發電量的比例是多少?(01) 0~10%(02) 11~20%(03) 21~30%(04) 31~40%(05) 41~50%(06) 51%及以上,請說明百分比 _______"
v27o07,27,v27,07,0,high,option text requires explanation,match,,,v27o07,"27 請問您同不同意為節能減碳,而「讓臺灣的企業多付碳費」來保護臺灣環境?【「碳費」是指政府針對二氧化碳年排放量超過2.5萬噸的企業所徵收的費用,其中主要又以電力業與製造業兩個群體為主。】(01) 不同意(02) 同意,多1%(03) 同意,多2%   (04) 同意,多3%(05) 同意,多4%(06) 同意,多5%  (07) 同意,多6%及以上,請說明百分比______ (08) 其他,請說明______ "
v27o08,27,v27,08,0,high,option text requires explanation,match,,,v27o08,"27 請問您同不同意為節能減碳,而「讓臺灣的企業多付碳費」來保護臺灣環境?【「碳費」是指政府針對二氧化碳年排放量超過2.5萬噸的企業所徵收的費用,其中主要又以電力業與製造業兩個群體為主。】(01) 不同意(02) 同意,多1%(03) 同意,多2%   (04) 同意,多3%(05) 同意,多4%(06) 同意,多5%  (07) 同意,多6%及以上,請說明百分比______ (08) 其他,請說明______ "
v28o07,28,v28,07,0,high,option text requires explanation,match,,,v28o07,"28 請問您願不願意為節能減碳,而配合一般物價上漲,來保護臺灣環境?【例如:使用比較貴但污染低的天然氣取代比較便宜但汙染高的燃煤,每度電的電價就會上漲。】(01) 不願意(02) 願意,漲1%(03) 願意,漲2%(04) 願意,漲3%  (05) 願意,漲4%(06) 願意,漲5%(07) 願意,漲6%及以上,請說明百分比______  (08) 其他,請說明______"
v28o08,28,v28,08,0,high,option text requires explanation,match,,,v28o08,"28 請問您願不願意為節能減碳,而配合一般物價上漲,來保護臺灣環境?【例如:使用比較貴但污染低的天然氣取代比較便宜但汙染高的燃煤,每度電的電價就會上漲。】(01) 不願意(02) 願意,漲1%(03) 願意,漲2%(04) 願意,漲3%  (05) 願意,漲4%(06) 願意,漲5%(07) 願意,漲6%及以上,請說明百分比______  (08) 其他,請說明______"
v29o07,29,v29,07,0,high,option text requires explanation,match,,,v29o07,"29 請問您願不願意為節能減碳,而多付能源稅,來保護臺灣環境?【臺灣目前沒有統一的能源稅制度。相關稅收主要為燃料貨物稅與汽車燃料使用費;電力本身未課能源稅。此外,政府自2026年5月起對大型企業碳排放徵收碳費。對於煤、石油、天然氣使用量所課徵的稅賦,隨價格徵收一定比例的稅,例如:加100元汽油,如果願意多1%,則會再多被徵收1元做為能源稅。】(01) 不願意  (02) 願意,多1%  (03) 願意,多2%  (04) 願意,多3%(05) 願意,多4%(06) 願意,多5%(07) 願意,多6%及以上,請說明百分比______ (08) 其他,請說明______"
v29o08,29,v29,08,0,high,option text requires explanation,match,,,v29o08,"29 請問您願不願意為節能減碳,而多付能源稅,來保護臺灣環境?【臺灣目前沒有統一的能源稅制度。相關稅收主要為燃料貨物稅與汽車燃料使用費;電力本身未課能源稅。此外,政府自2026年5月起對大型企業碳排放徵收碳費。對於煤、石油、天然氣使用量所課徵的稅賦,隨價格徵收一定比例的稅,例如:加100元汽油,如果願意多1%,則會再多被徵收1元做為能源稅。】(01) 不願意  (02) 願意,多1%  (03) 願意,多2%  (04) 願意,多3%(05) 願意,多4%(06) 願意,多5%(07) 願意,多6%及以上,請說明百分比______ (08) 其他,請說明______"
v45o06,45,v45m06,06,1,high,option text requires explanation,mismatch,var2_new differs,,v45o06,"45 請問當颱風、水災發生時,您最常透過哪些管道獲得颱風、水災相關資訊?【可複選】□ (01) 電視□ (02) 報紙□ (03) 廣播□ (04) 網路(例如:社群媒體、入口網站、BBS、即時通訊、新聞 APP)□ (05) 親朋好友/街坊鄰居/同儕(同事)□ (06) 其他,請說明____ □ (07) 都沒有"
v50o05,50,v50,05,0,high,option text requires explanation,match,,,v50o05,"50 請問您現在主要居住地點是下列哪一種?□ (01) 居住在透天厝(跳答第52題)□ (02) 居住在只有一樓層的平房,不是鐵皮屋頂(跳答第52題)□ (03) 居住在只有一樓層的平房,是鐵皮屋頂(跳答第52題)□ (04) 居住在公寓或大樓□ (05) 其他,請說明_____"
v51o07,51,v51,07,0,high,option text requires explanation,match,,,v51o07,"51 請問您現在的居住地點是在:□ (01) 地下室 □ (02) 一樓□ (03) 二樓以上,但不是頂樓□ (04) 居住於頂樓,但不是加蓋□ (05) 居住於頂樓加蓋處,不是鐵皮屋頂□ (06) 居住於頂樓加蓋處,且為鐵皮屋頂□ (07) 其他,請說明_____"
v52o11,52,v52,11,0,high,option text requires explanation,match,,,v52o11,"52 您現在住的房子是誰的:□ (01) 自己所有□ (02) 夫妻共有-共同名下□ (03) 配偶所有□ (04) 父母所有□ (05) 配偶父母所有□ (06) 子女所有–我(或配偶)買給子女□ (07) 子女所有□ (08) 公司或機構所有□ (09) 租用□ (10) 政府社會救助(免租金)□ (11) 其他,請說明"
v57o04,57,v57,04,0,high,option text requires explanation,match,,,v57o04,"57 在我們的社會裡,有人說臺灣應該盡快獨立,也有人說臺灣和大陸應該儘快統一,也有人主張應該維持現狀,請問,您自己比較贊成哪一種說法?     (01) 臺灣應該儘快獨立【跳答第59題】(02) 臺灣應該儘快和大陸統一【跳答第59題】(03) 應該維持現狀【續問第58題】(04) 其他,請說明_____【跳答第59題】"
v58o05,58,v58,05,0,high,option text requires explanation,match,,,v58o05,"58 維持現狀的意思是指?【第57題回答選項(03)才需回答;其餘跳過。】(01) 先維持現狀以後再走向獨立(02) 先維持現狀以後再和大陸統一(03) 永遠維持現狀(04) 先維持現狀,以後再看情形(05) 其他,請說明_____"
v59o08,59,v59,08,0,high,option text requires explanation,match,,,v59o08,"59 一般而言您會比較偏向哪個政黨?(01) 國民黨(02) 民進黨(03) 時代力量(04) 親民黨(05) 台灣民眾黨(06) 台灣基進(07) 無黨籍(08) 其他政黨,請說明_______(09) 泛藍(10) 泛綠(11) 都不支持"
v69o15,69,v69,15,0,high,option text requires explanation,match,,,v69o15,"69 請問您的教育程度是?【含肄業】(01) 無(02) 自修(03) 小學(04) 國中/初中(05) 初職(06) 高中(07) 高職(08) 士官學校(09) 五專(10) 二、三專/軍警專修班(11) 軍警官學校(12) 二技、四技(技術學院)或科技大學(13) 一般大學(14) 研究所及以上(15) 其他,請說明______________"
v70o10,70,v70,10,0,medium,unnumbered other option,match,,option code inferred by counting answer choices with skip/continue markers,v70o10,"70 請問您目前有沒有工作? 有工作(平均每週30小時以上)(包含職業軍人)【續答第71_1題】 有工作,且平均每周未滿30小時(含有打工的學生和家庭主婦)【續答第71_1題】 已退休且目前有工作【續答第71_1題】 已退休且目前沒有工作【續答第71_1題】 學生(在學或準備升學),且沒有工作或打工【跳答第72題】 家管(含幫忙家務,或照顧家人),且沒有工作【跳答第72題】 正在找工作、失業、待業(包含身體障礙無法工作者)【跳答第72題】 服兵役(義務役)【跳答第72題】 沒有工作,也無工作意願【跳答第72題】 其他_____(留職停薪、請病假、照護假或育嬰假)【續答第71_1題】"
v71_1o10,71_1,v71_1,10,0,high,option text requires explanation,match,,,v71_1o10,"71_1 請問您目前是老闆還是員工?【續答第71_2題】【若您已退休且目前沒有工作,請回答「退休前的工作」】(01) 自己當老闆(包括與配偶或合夥人),而且有雇用別人(指連續3個月以上,且每週工作30小時以上)(02) 自己當老闆(包括與配偶或合夥人),沒有雇用別人(含SOHO族)【自營作業者,包括自耕農,短期、臨時性僱用員工歸入此類)(03) 幫家裡工作,有拿薪水(04) 幫家裡工作,沒有拿薪水(05) 為私人雇主或私人機構工作【受雇於民營單位或民營企業,含私立醫院與私立學校】(06) 為公營企業工作【如:中油、台電、台糖、台銀、土銀、台菸、中華郵政、港務公司等】(07) 為政府機構工作【含公立學校教師】(08) 為非營利【或非政府】組織工作(09) 為別人工作,沒有固定雇主【含打零工】(10) 其他,請說明"
v71_2s1,71_2,v71_2s1,1,0,medium,structured open subfield,match,,open text subfield inferred from underscored option text,v71_2s1,"71_2 請問您目前的工作是什麼?【續答72】【若您已退休且目前沒有工作,請回答「退休前的工作」】【若您有兩份工作以上時,請以主要收入來源回答。若兩份收入都差不多,則請以工作時間較長的來回答。】(01) 行業【公司所生產的產品或提供的服務】_____(02) 公司名稱_____(03) 職位(職稱、工作內容)_____(04) 部門_____"
v71_2s2,71_2,v71_2s2,2,0,medium,structured open subfield,match,,open text subfield inferred from underscored option text,v71_2s2,"71_2 請問您目前的工作是什麼?【續答72】【若您已退休且目前沒有工作,請回答「退休前的工作」】【若您有兩份工作以上時,請以主要收入來源回答。若兩份收入都差不多,則請以工作時間較長的來回答。】(01) 行業【公司所生產的產品或提供的服務】_____(02) 公司名稱_____(03) 職位(職稱、工作內容)_____(04) 部門_____"
v71_2s3,71_2,v71_2s3,3,0,medium,structured open subfield,match,,open text subfield inferred from underscored option text,v71_2s3,"71_2 請問您目前的工作是什麼?【續答72】【若您已退休且目前沒有工作,請回答「退休前的工作」】【若您有兩份工作以上時,請以主要收入來源回答。若兩份收入都差不多,則請以工作時間較長的來回答。】(01) 行業【公司所生產的產品或提供的服務】_____(02) 公司名稱_____(03) 職位(職稱、工作內容)_____(04) 部門_____"
v71_2s4,71_2,v71_2s4,4,0,medium,structured open subfield,match,,open text subfield inferred from underscored option text,v71_2s4,"71_2 請問您目前的工作是什麼?【續答72】【若您已退休且目前沒有工作,請回答「退休前的工作」】【若您有兩份工作以上時,請以主要收入來源回答。若兩份收入都差不多,則請以工作時間較長的來回答。】(01) 行業【公司所生產的產品或提供的服務】_____(02) 公司名稱_____(03) 職位(職稱、工作內容)_____(04) 部門_____"
v74o09,74,v74,09,0,high,option text requires explanation,match,,,v74o09,"74 請問您目前有沒有宗教信仰?(01) 沒有(02) 佛教(03) 道教(04) 民間信仰(包含拜神、拜佛、拜祖先)(05) 一貫道(06) 回教(伊斯蘭教)(07) 天主教(08) 基督教(09) 其他,請說明_________"
