status,row,qid,direction,條件,應答,不應答,限制,source,reason,bracket,text
proposal,,A2,need,vA1 in 997 | vA1 in 998,vA2,,,"A2‧請問您今年大概幾歲?【A1答(997)或(998)者,才需回答此題】",,,
proposal,,A2,need_inverse,vA1~=997 & vA1~=998,,vA2,,"A2‧請問您今年大概幾歲?【A1答(997)或(998)者,才需回答此題】",,,
proposal,,A5,skip,vA4 in 1 | vA4 in 97 | vA4 in 98,,"vA5city,vA5town",,"A5‧那請問您的戶籍所在地是哪個縣市、哪個鄉鎮市區呢?(以身分證上的為主)【地區題】【A4答(01)、(97)、(98)者,不需回答此題】",,,
proposal,,A5,skip_inverse,vA4~=1 & vA4~=97 & vA4~=98,"vA5city,vA5town",,,"A5‧那請問您的戶籍所在地是哪個縣市、哪個鄉鎮市區呢?(以身分證上的為主)【地區題】【A4答(01)、(97)、(98)者,不需回答此題】",,,
proposal,,O2,need,vO1 in 1 | vO1 in 2 | vO1 in 3 | vO1 in 4 | vO1 in 5 | vO1 in 88,vO2,,,"O2‧請問您的行業:(卡4)【O1答(01)-(05)、(88)者,才需回答此題】",,,
proposal,,O2,need_inverse,vO1~=1 & vO1~=2 & vO1~=3 & vO1~=4 & vO1~=5 & vO1~=88,,vO2,,"O2‧請問您的行業:(卡4)【O1答(01)-(05)、(88)者,才需回答此題】",,,
proposal,,O3,need,vO1 in 1 | vO1 in 2 | vO1 in 3 | vO1 in 4 | vO1 in 5 | vO1 in 88,vO3,,,"O3‧請問您現在的工作屬於哪一類?(卡5)【O1答(01)-(05)、(88)者,才需回答此題】",,,
proposal,,O3,need_inverse,vO1~=1 & vO1~=2 & vO1~=3 & vO1~=4 & vO1~=5 & vO1~=88,,vO3,,"O3‧請問您現在的工作屬於哪一類?(卡5)【O1答(01)-(05)、(88)者,才需回答此題】",,,
proposal,,O4,need,(vO1 in 1 | vO1 in 2 | vO1 in 3 | vO1 in 4 | vO1 in 5 | vO1 in 88) & (vO3 in 1 | vO3 in 3 | vO3 in 4 | vO3 in 5 | vO3 in 6 | vO3 in 88),vO4,,,"O4 5000、9991、9997、9998】【O1答(01)-(05)、(88)者,且O3答(01)、(03)-(06)、(88),需回答此題】",,,
proposal,,O4,need_inverse,((vO1~=1 & vO1~=2 & vO1~=3 & vO1~=4 & vO1~=5 & vO1~=88) | (vO3~=1 & vO3~=3 & vO3~=4 & vO3~=5 & vO3~=6 & vO3~=88)) & vO3~=96,,vO4,,"O4 5000、9991、9997、9998】【O1答(01)-(05)、(88)者,且O3答(01)、(03)-(06)、(88),需回答此題】",,,
proposal,,D2,need,vD1 in 1 | vD1 in 2,vD2,,,"D2‧請問您每週平均有幾天會使用手機?【數值題,可輸入小數點,範圍為0.5、1、1.5、2、2.5、3、3.5、4、4.5、5、5.5、6、6.5、7、95、97、98】【D1答(01)、(02)者,需回答此題】",,,
proposal,,D2,need_inverse,vD1~=1 & vD1~=2,,vD2,,"D2‧請問您每週平均有幾天會使用手機?【數值題,可輸入小數點,範圍為0.5、1、1.5、2、2.5、3、3.5、4、4.5、5、5.5、6、6.5、7、95、97、98】【D1答(01)、(02)者,需回答此題】",,,
proposal,,D3,need,vD1 in 1 | vD1 in 2,vD3,,,"D3‧在您有使用手機的那一天,您一整天大概會使用多久?使用手機是指「講電話」或「眼睛有看著手機螢幕」,例如使用LINE、看影片或照片等都算。【數值題,範圍:0001-2359、9797、9898】【D1答(01)、(02)者,需回答此題】",,,
proposal,,D3,need_inverse,vD1~=1 & vD1~=2,,vD3,,"D3‧在您有使用手機的那一天,您一整天大概會使用多久?使用手機是指「講電話」或「眼睛有看著手機螢幕」,例如使用LINE、看影片或照片等都算。【數值題,範圍:0001-2359、9797、9898】【D1答(01)、(02)者,需回答此題】",,,
proposal,,D4,need,vD1 in 1 | vD1 in 2,"vD4sD4,vD4sD5,vD4sD6,vD4sD7,vD4sD8",,,"D4-D8.請問下面這些事情多常發生在您身上?(卡6)【D1答(01)、(02)者,需回答此題】",,,
proposal,,D4,need_inverse,vD1~=1 & vD1~=2,,"vD4sD4,vD4sD5,vD4sD6,vD4sD7,vD4sD8",,"D4-D8.請問下面這些事情多常發生在您身上?(卡6)【D1答(01)、(02)者,需回答此題】",,,
proposal,,E17,need,vK1m01 in 1 | vK2m13 in 1,vE17,,,"E17‧請問您平常主要是透過手機、平板或電腦使用LINE?【K1答(01)者,或K2答(13)者,才需回答此題】",,,
proposal,,E17,need_inverse,vK1m01~=1 & vK2m13~=1,,vE17,,"E17‧請問您平常主要是透過手機、平板或電腦使用LINE?【K1答(01)者,或K2答(13)者,才需回答此題】",,,
proposal,,KLI1,need,vK1m01 in 1 | vK2m13 in 1,vKLI1,,,"KLI1‧請問您每週平均有幾天使用LINE?【數值題,可輸入小數點,範圍為0.5、1、1.5、2、2.5、3、3.5、4、4.5、5、5.5、6、6.5、7、95、97、98】【K1答(01)者,或K2答(13)者,才需回答此題】",,,
proposal,,KLI1,need_inverse,vK1m01~=1 & vK2m13~=1,,vKLI1,,"KLI1‧請問您每週平均有幾天使用LINE?【數值題,可輸入小數點,範圍為0.5、1、1.5、2、2.5、3、3.5、4、4.5、5、5.5、6、6.5、7、95、97、98】【K1答(01)者,或K2答(13)者,才需回答此題】",,,
proposal,,KLI2,need,vK1m01 in 1 | vK2m13 in 1,vKLI2,,,"KLI2‧在您有使用LINE的那一天,您一整天大概會使用多久(要真的有在用LINE傳訊息、通話、看LINE Today的時間)?【數值題,範圍:0001-2359、9797、9898】【K1答(01)者,或K2答(13)者,才需回答此題】",,,
proposal,,KLI2,need_inverse,vK1m01~=1 & vK2m13~=1,,vKLI2,,"KLI2‧在您有使用LINE的那一天,您一整天大概會使用多久(要真的有在用LINE傳訊息、通話、看LINE Today的時間)?【數值題,範圍:0001-2359、9797、9898】【K1答(01)者,或K2答(13)者,才需回答此題】",,,
proposal,,KFB1,need,vK1m02 in 1 | vK2m01 in 1,vKFB1,,,"KFB1‧請問您每週平均有幾天使用臉書(Facebook),包含臉書聊天室(FB Messenger)也算?【數值題,可輸入小數點,範圍為0.5、1、1.5、2、2.5、3、3.5、4、4.5、5、5.5、6、6.5、7、95、97、98】【K1答(02)者,或K2答(01)者,才需回答此題】",,,
proposal,,KFB1,need_inverse,vK1m02~=1 & vK2m01~=1,,vKFB1,,"KFB1‧請問您每週平均有幾天使用臉書(Facebook),包含臉書聊天室(FB Messenger)也算?【數值題,可輸入小數點,範圍為0.5、1、1.5、2、2.5、3、3.5、4、4.5、5、5.5、6、6.5、7、95、97、98】【K1答(02)者,或K2答(01)者,才需回答此題】",,,
proposal,,KFB2,need,vK1m02 in 1 | vK2m01 in 1,vKFB2,,,"KFB2‧在您有使用臉書(Facebook),包含臉書聊天室(FB Messenger)的那一天,您一整天大概會使用多久(真的有在用的時間)?【數值題,範圍:0001-2359、9797、9898】【K1答(02)者,或K2答(01)者,才需回答此題】",,,
proposal,,KFB2,need_inverse,vK1m02~=1 & vK2m01~=1,,vKFB2,,"KFB2‧在您有使用臉書(Facebook),包含臉書聊天室(FB Messenger)的那一天,您一整天大概會使用多久(真的有在用的時間)?【數值題,範圍:0001-2359、9797、9898】【K1答(02)者,或K2答(01)者,才需回答此題】",,,
proposal,,KFB3,need,vK1m02 in 1 | vK2m01 in 1,"vKFB3m01,vKFB3m02,vKFB3m03,vKFB3m04,vKFB3m05,vKFB3m06,vKFB3m07,vKFB3m08,vKFB3m09,vKFB3m10,vKFB3m11,vKFB3m12,vKFB3m13,vKFB3m14,vKFB3m15,vKFB3m16,vKFB3m17,vKFB3m88",,,"KFB3‧請問您使用臉書(Facebook)主要的原因或動機是什麼呢?(可多選)(卡9)【K1答(02)者,或K2答(01)者,才需回答此題】",,,
proposal,,KFB3,need_inverse,vK1m02~=1 & vK2m01~=1,,"vKFB3m01,vKFB3m02,vKFB3m03,vKFB3m04,vKFB3m05,vKFB3m06,vKFB3m07,vKFB3m08,vKFB3m09,vKFB3m10,vKFB3m11,vKFB3m12,vKFB3m13,vKFB3m14,vKFB3m15,vKFB3m16,vKFB3m17,vKFB3m88",,"KFB3‧請問您使用臉書(Facebook)主要的原因或動機是什麼呢?(可多選)(卡9)【K1答(02)者,或K2答(01)者,才需回答此題】",,,
proposal,,KFB4,need,vK1m02 in 1 | vK2m01 in 1,"vKFB4m01,vKFB4m02,vKFB4m03,vKFB4m04,vKFB4m05,vKFB4m06,vKFB4m07,vKFB4m08,vKFB4m09,vKFB4m10,vKFB4m11,vKFB4m12,vKFB4m13,vKFB4m14,vKFB4m15,vKFB4m16,vKFB4m17,vKFB4m18,vKFB4m88",,,"KFB4‧請問您平常會在臉書(Facebook)上做哪些事情呢?(可多選)(卡10)【K1答(02)者,或K2答(01)者,才需回答此題】",,,
proposal,,KFB4,need_inverse,vK1m02~=1 & vK2m01~=1,,"vKFB4m01,vKFB4m02,vKFB4m03,vKFB4m04,vKFB4m05,vKFB4m06,vKFB4m07,vKFB4m08,vKFB4m09,vKFB4m10,vKFB4m11,vKFB4m12,vKFB4m13,vKFB4m14,vKFB4m15,vKFB4m16,vKFB4m17,vKFB4m18,vKFB4m88",,"KFB4‧請問您平常會在臉書(Facebook)上做哪些事情呢?(可多選)(卡10)【K1答(02)者,或K2答(01)者,才需回答此題】",,,
