project,severity,sheet,row,column,code,message
傳播4-1,warning,邏輯組,1,限制,missing_recommended_header,"Recommended header 限制 is absent; current tools can continue, but related rules cannot be generated."
傳播4-1,error,複選題_301-400,2,m,duplicate_global_mp,m 301 duplicates 數值題 row 202.
傳播4-1,error,複選題_301-400,3,m,duplicate_global_mp,m 302 duplicates 數值題 row 203.
傳播4-1,error,複選題_301-400,4,m,duplicate_global_mp,m 303 duplicates 數值題 row 204.
傳播4-1,error,複選題_301-400,2,p,duplicate_global_mp,p 301 duplicates 數值題 row 202.
傳播4-1,error,複選題_301-400,3,p,duplicate_global_mp,p 302 duplicates 數值題 row 203.
傳播4-1,error,複選題_301-400,4,p,duplicate_global_mp,p 303 duplicates 數值題 row 204.
傳播4-1,error,複選題內_互斥,2,m,duplicate_global_mp,m 304 duplicates 數值題 row 205.
傳播4-1,error,複選題內_互斥,3,m,duplicate_global_mp,m 305 duplicates 數值題 row 206.
傳播4-1,error,複選題內_互斥,4,m,duplicate_global_mp,m 306 duplicates 數值題 row 207.
傳播4-1,error,複選題內_互斥,2,p,duplicate_global_mp,p 304 duplicates 數值題 row 205.
傳播4-1,error,複選題內_互斥,3,p,duplicate_global_mp,p 305 duplicates 數值題 row 206.
傳播4-1,error,複選題內_互斥,4,p,duplicate_global_mp,p 306 duplicates 數值題 row 207.
傳播4-1,error,開放欄位,9,題號變項名稱,formula_error,Cell contains #VALUE!.
傳播4-1,error,開放欄位,9,range_new,formula_error,Cell contains #VALUE!.
傳播4-1,error,開放欄位,9,n,formula_error,Cell contains #VALUE!.
傳播4-1,error,開放欄位,10,題號變項名稱,formula_error,Cell contains #VALUE!.
傳播4-1,error,開放欄位,10,range_new,formula_error,Cell contains #VALUE!.
傳播4-1,error,開放欄位,10,n,formula_error,Cell contains #VALUE!.
傳播4-1,error,開放欄位,12,題號變項名稱,formula_error,Cell contains #VALUE!.
傳播4-1,error,開放欄位,12,range_new,formula_error,Cell contains #VALUE!.
傳播4-1,error,開放欄位,12,n,formula_error,Cell contains #VALUE!.
傳播4-1,error,開放欄位,26,題號,formula_error,Cell contains #VALUE!.
傳播4-1,error,開放欄位,26,題號變項名稱,formula_error,Cell contains #VALUE!.
傳播4-1,error,開放欄位,26,選項數值,formula_error,Cell contains #VALUE!.
傳播4-1,error,開放欄位,26,var2_new,formula_error,Cell contains #VALUE!.
傳播4-1,error,開放欄位,26,range_new,formula_error,Cell contains #VALUE!.
傳播4-1,error,開放欄位,26,n,formula_error,Cell contains #VALUE!.
傳播4-1,error,開放欄位,56,題號,formula_error,Cell contains #VALUE!.
傳播4-1,error,開放欄位,56,題號變項名稱,formula_error,Cell contains #VALUE!.
傳播4-1,error,開放欄位,56,選項數值,formula_error,Cell contains #VALUE!.
傳播4-1,error,開放欄位,56,var2_new,formula_error,Cell contains #VALUE!.
傳播4-1,error,開放欄位,57,題號,formula_error,Cell contains #VALUE!.
傳播4-1,error,開放欄位,57,題號變項名稱,formula_error,Cell contains #VALUE!.
傳播4-1,error,開放欄位,57,選項數值,formula_error,Cell contains #VALUE!.
傳播4-1,error,開放欄位,57,var2_new,formula_error,Cell contains #VALUE!.
傳播4-1,error,開放欄位,58,題號,formula_error,Cell contains #VALUE!.
傳播4-1,error,開放欄位,58,題號變項名稱,formula_error,Cell contains #VALUE!.
傳播4-1,error,開放欄位,58,選項數值,formula_error,Cell contains #VALUE!.
