source,index,qid,cue_type,option_value,condition_text,target_text,raw_text,status,note
paragraph,29,T0_1,show,,T0答(02)顯示此題,此題,T0_1‧請問他/她/您(中選受訪者)有沒有「視力上完全看不到」或「聽力完全聽不到」的狀況?【T0答(02)顯示此題】,candidate,
paragraph,56,CK01,show,,顯示題,題,"CK01接下來,開始填寫戶抽訪問紀錄Y0-Y2,如沒有要填寫,請點擊「中止填寫」按鈕離開此畫面。【顯示題】【不顯示題號】",ignore,"Display-only marker, not a respondent-answer logic rule."
paragraph,56,CK01,show,,不顯示題號,題號,"CK01接下來,開始填寫戶抽訪問紀錄Y0-Y2,如沒有要填寫,請點擊「中止填寫」按鈕離開此畫面。【顯示題】【不顯示題號】",ignore,"Display-only marker, not a respondent-answer logic rule."
paragraph,62,Y0_1,skip,,跳至Y1,Y1,(01)只有一戶【跳至Y1】,candidate,
paragraph,87,Y2,condition,,"若受訪者已聽過前述說明,以下無須重複唸讀,請直接勾選訪函提供狀況;如不確定,請唸讀以下內容",,"ZA【若受訪者已聽過前述說明,以下無須重複唸讀,請直接勾選訪函提供狀況;如不確定,請唸讀以下內容】",review,
paragraph,112,A2,condition,,"A1答(997)或(998)者,才需回答此題",,"A2‧請問您今年大概幾歲?【A1答(997)或(998)者,才需回答此題】",review,
paragraph,166,A5,condition,,"A4答(01)、(97)、(98)者,不需回答此題",,"A5‧那請問您的戶籍所在地是哪個縣市、哪個鄉鎮市區呢?(以身分證上的為主)【地區題】【A4答(01)、(97)、(98)者,不需回答此題】",review,
paragraph,253,O1_1,condition,,"A9答(01)者,選項互斥",,"□ (01) 是,日間部【A9答(01)者,選項互斥】",review,
paragraph,254,O1_1,condition,,"A9答(01)者,選項互斥",,"□ (02) 是,夜間部/進修部 【A9答(01)者,選項互斥】",review,
paragraph,255,O1_1,condition,,"A9答(01)者,選項互斥",,"□ (03) 是,在職專班【A9答(01)者,選項互斥】",review,
paragraph,256,O1_1,condition,,"A9答(01)者,選項互斥",,"□ (04) 是,空中大學【A9答(01)者,選項互斥】",review,
paragraph,276,O1,condition,,"O1_1答(05)者,選項互斥",,"□ (14)沒有工作:正在就學中【O1_1答(05)者,選項互斥】",review,
paragraph,283,O2,condition,,"O1答(01)-(05)、(88)者,才需回答此題",,"O2‧請問您的行業:(卡4)【O1答(01)-(05)、(88)者,才需回答此題】",review,
