row,var,status,mismatch_reason,existing_in_or_not,proposed_in_or_not,existing_range,proposed_range,alternative_range,existing_decimal_check,proposed_decimal_check,decimal_note,question_excerpt
2,vG0city,match,,range,range,"range(vG0city,1,29)","range(vG0city,1,29)","range(vG0city,1,29)",,,,
3,vEND1,match,,range,range,"range(vEND1,20260609000000,20260629000000,99969696969696,99969696969696)","range(vEND1,20260609000000,20260629000000,99969696969696,99969696969696)","(range(vEND1,20260609000000,20260629000000) | range(vEND1,99969696969696,99969696969696))",,,,
4,vA0,review,in_or_not differs; range differs,range,any,"range(vA0,1,1)","any(vA0,1)","range(vA0,1,1)",,,,
5,vA1,match,,range,range,"range(vA1,0,999999999)","range(vA1,0,999999999)","range(vA1,0,999999999)",,,,"A1 請問您個人(或同住家人的家庭)每個月生活成本之食物開銷,包含外食與自己煮的,大約是多少元?(本題答案應為大於等於0的整數)【填答範圍設定大於等於0】____________元"
6,vA2,match,,range,range,"range(vA2,0,999999999)","range(vA2,0,999999999)","range(vA2,0,999999999)",,,,"A2 請問您個人(或同住家人的家庭)每個月生活成本之衣著開銷,大約是多少元?(本題答案應為大於等於0的整數)【填答範圍設定大於等於0】____________元"
7,vA3,match,,range,range,"range(vA3,0,999999999)","range(vA3,0,999999999)","range(vA3,0,999999999)",,,,"A3 請問您個人(或同住家人的家庭)每個月生活成本之居住開銷,包含房租、住宅維修、家庭用品、水電燃氣,大約是多少元?(本題答案應為大於等於0的整數)【填答範圍設定大於等於0】____________元"
8,vA4,match,,range,range,"range(vA4,0,999999999)","range(vA4,0,999999999)","range(vA4,0,999999999)",,,,"A4 請問您個人(或同住家人的家庭)每個月生活成本之交通及通訊開銷,包含交通工具、油料費、運輸費、通訊費,大約是多少元?(本題答案應為大於等於0的整數)【填答範圍設定大於等於0】____________元"
9,vA5,match,,range,range,"range(vA5,0,999999999)","range(vA5,0,999999999)","range(vA5,0,999999999)",,,,"A5 請問您個人(或同住家人的家庭)每個月生活成本之醫藥保健開銷,包含醫療費用、保健食品、醫療保健器材,大約是多少元?(本題答案應為大於等於0的整數)【填答範圍設定大於等於0】____________元"
10,vA6,match,,range,range,"range(vA6,0,999999999)","range(vA6,0,999999999)","range(vA6,0,999999999)",,,,"A6 請問您個人(或同住家人的家庭)每個月生活成本之教養娛樂開銷,包含補習費、學雜費、娛樂服務等,大約是多少元?(本題答案應為大於等於0的整數)【填答範圍設定大於等於0】____________元"
11,vA7,match,,range,range,"range(vA7,0,999999999)","range(vA7,0,999999999)","range(vA7,0,999999999)",,,,"A7 請問您個人(或同住家人的家庭)每個月在生活成本之經常性整體開銷,大約是多少元?(本題答案應為大於等於0的整數)【填答範圍設定大於等於0】____________元"
