var,qid_candidates,matched_question,existing_r1,existing_r2,existing_r3,existing_r4,proposed_r1,proposed_r2,proposed_r3,proposed_r4,confidence,source,note,compare_status,mismatch_reason,question_excerpt
vG0city,G0city|G0,G0,"1,29",,,,"1,29",,,,high,administrative city code,"city variables use project-wide 1,29",match,,G0請問您目前居住在哪一個縣市?__________市(縣)
vEND1,END1,END1,"20260609000000,20260629000000",99969696969696,,,"20260609000000,20260629000000",99969696969696,,,high,existing date range,from existing Excel date range,match,,"END1很抱歉,由於您目前的居住地區不在本次調查範圍內,希望下次有機會能再邀請您!再次感謝,並祝您健康快樂!【邏輯:G0選「其他」時進入此題,並停止作答】"
vA0,A0,A0,1,,,,1,,,,medium,option-code span,,match,,"A0首先,想了解您目前生活成本的狀況,項目包含: 1.食物開銷 2.衣著開銷 3.居住開銷 4.交通及通訊開銷 5.醫藥保健開銷 6.教養娛樂開銷 7.生活成本之經常性整體開銷:包含前六項和其它經常性開銷 若您不確定明確金額,填寫大概的數字即可。 (1)已了解並開始填答"
vA1,A1,A1,"0,999999999",,,,"0,999999999",,,,high,explicit lower-bound range,,match,,"A1 請問您個人(或同住家人的家庭)每個月生活成本之食物開銷,包含外食與自己煮的,大約是多少元?(本題答案應為大於等於0的整數)【填答範圍設定大於等於0】 ____________元"
vA2,A2,A2,"0,999999999",,,,"0,999999999",,,,high,explicit lower-bound range,,match,,"A2 請問您個人(或同住家人的家庭)每個月生活成本之衣著開銷,大約是多少元?(本題答案應為大於等於0的整數)【填答範圍設定大於等於0】 ____________元"
vA3,A3,A3,"0,999999999",,,,"0,999999999",,,,high,explicit lower-bound range,,match,,"A3 請問您個人(或同住家人的家庭)每個月生活成本之居住開銷,包含房租、住宅維修、家庭用品、水電燃氣,大約是多少元?(本題答案應為大於等於0的整數)【填答範圍設定大於等於0】 ____________元"
vA4,A4,A4,"0,999999999",,,,"0,999999999",,,,high,explicit lower-bound range,,match,,"A4 請問您個人(或同住家人的家庭)每個月生活成本之交通及通訊開銷,包含交通工具、油料費、運輸費、通訊費,大約是多少元?(本題答案應為大於等於0的整數)【填答範圍設定大於等於0】 ____________元"
vA5,A5,A5,"0,999999999",,,,"0,999999999",,,,high,explicit lower-bound range,,match,,"A5 請問您個人(或同住家人的家庭)每個月生活成本之醫藥保健開銷,包含醫療費用、保健食品、醫療保健器材,大約是多少元?(本題答案應為大於等於0的整數)【填答範圍設定大於等於0】 ____________元"
vA6,A6,A6,"0,999999999",,,,"0,999999999",,,,high,explicit lower-bound range,,match,,"A6 請問您個人(或同住家人的家庭)每個月生活成本之教養娛樂開銷,包含補習費、學雜費、娛樂服務等,大約是多少元?(本題答案應為大於等於0的整數)【填答範圍設定大於等於0】 ____________元"
vA7,A7,A7,"0,999999999",,,,"0,999999999",,,,high,explicit lower-bound range,,match,,"A7 請問您個人(或同住家人的家庭)每個月在生活成本之經常性整體開銷,大約是多少元?(本題答案應為大於等於0的整數)【填答範圍設定大於等於0】 ____________元"
