table_index,row_index,編號,題號,變項名稱,檢核說明,備註,auto_category
0,1,1,sel_gen | O1,sel_gen | vO1,受訪者為女性，但vO1工作狀況選(12)服義務役或(13)服(研發)替代役。,*品管項目,candidate_logic
1,1,1,A1 | A2 | A3 | A9,vA1 | vA2 | vA3 | vA9,57年施行九年國民義務教育，出生年在57年次以後(57歲及以下)，且為台灣出生者(vA3選1-22、97、98)，於vA9教育程度，不應為(01)不識字、(02)自修/小學 | (年齡計算以114年減出生年)。,*品管項目,candidate_logic
1,2,2,A1 | A2 | A9,vA1 | vA2 | vA9,出生年超過民國92年次(未滿22歲者)，vA9教育程度不應為(07)碩士、(08)博士 | (年齡計算以114年減出生年)。,*品管項目,candidate_logic
1,3,3,B2,vB2,vB2看電視的平常日（週一到週五），一整天看超過12小時，列出確認。,,candidate_logic
1,4,4,B4,vB4,vB4有看電視的週六或週日，一整天看超過12小時，列出確認。,,candidate_logic
1,5,5,B6,vB6,vB6看電視新聞的那一天，一整天看超過12小時，列出確認。,,candidate_logic
1,6,6,C2,vC2,vC2有聽廣播的那一天，一整天聽超過12小時，列出確認。,,candidate_logic
1,7,7,D3,vD3,vD3有用手機的那一天，一整天用超過16小時，列出確認。,,candidate_logic
1,8,8,E5 | E8 | E11,vE5 | vE8 | vE11,各項裝置（手機、平板及電腦）因工作與課業而上網的時間相加超過16小時，列出確認。,列出E5～E12加總合計時數、該檢核項的合計時數、以及vE5 | ～vE12共計6變項資料。,candidate_logic
1,9,9,E5 | E8 | E11,vE6 | vE9 | vE12,各項裝置（手機、平板及電腦）非因工作與課業而上網的時間相加超過16小時，列出確認。,列出E5～E12加總合計時數、該檢核項的合計時數、以及vE5 | ～vE12共計6變項資料。,candidate_logic
1,10,10,E5 | E6,vE5 | vE6,vE5、vE6使用手機上網的時間相加超過16小時。,列出E5～E12加總合計時數、該檢核項的合計時數、以及vE5 | ～vE12共計6變項資料。,candidate_logic
1,11,11,E8 | E9,vE8 | vE9,vE8、vE9使用平板上網的時間相加超過16小時。,列出E5～E12加總合計時數、該檢核項的合計時數、以及vE5 | ～vE12共計6變項資料。,candidate_logic
1,12,12,E11 | E12,vE11 | vE12,vE11、vE12使用電腦上網的時間相加超過16小時。,列出E5～E12加總合計時數、該檢核項的合計時數、以及vE5 | ～vE12共計6變項資料。,candidate_logic
1,13,13,E5 | E6 | D3,vE5 | vE6 | vD3,vE5、vE6使用手機上網的時間相加大於vD3的時間2小時，列出確認。,另列出合計時數,candidate_logic
1,14,14,E14,vE14,vE14平均每月在網路上消費（買東西）超過O5收入題，列出確認。,,review
1,15,15,F2,vF2,vF2有讀雜誌（紙本），一整天看超過5小時，列出確認。,,candidate_logic
1,16,16,F4,vF4,vF4有讀雜誌（網路），一整天看超過5小時，列出確認。,,candidate_logic
1,17,17,G2,vG2,vG2有讀報紙（紙本），一整天看超過5小時，列出確認。,,candidate_logic
1,18,18,G5,vG5,vG5有上網看新聞的那一天，一整天看超過5小時，列出確認。,,candidate_logic
1,19,19,H1 | H4 | H7,vH1 | vH4 | vH7,vH1「面對面」接觸人數回答0~990且vH4「網路上」接觸人數回答0~990，在vH7「面對面」且「網路上」接觸的人數卻回答(997)不知道。,*品管項目,candidate_logic
1,20,20,H7 | H7_1 | H7_2 | H7_3,vH7 | vH7_1 | vH7_2 | vH7_3,vH7-vH7_3平常一天「面對面」且「網路上」接觸的人數超過30人，列出確認。,,candidate_logic
