var,qid_candidates,matched_question,existing_r1,existing_r2,existing_r3,existing_r4,proposed_r1,proposed_r2,proposed_r3,proposed_r4,confidence,source,note,compare_status,mismatch_reason,question_excerpt
vQ27city,Q27city|Q27,Q27,"1,29",,,,"1,29",,,,high,administrative city code,"city variables use project-wide 1,29",match,,Q27請問您目前居住在哪一個縣市?__________市(縣)
vEND1,END1,END1,99969696969696,,,,99969696969696,,,,high,existing date range,from existing Excel date range,match,,"END1很抱歉,由於您目前的居住地區不在本次調查範圍內,希望下次有機會能再邀請您!再次感謝,並祝您健康快樂!【邏輯:Q27選「其他」時進入此題,並停止作答】"
v1,1,1,1,,,,1,,,,medium,option-code span,,match,,"1首先,想了解您目前生活成本的狀況,項目包含: 1.房租或房貸 2.食物開銷 3.交通與能源開銷 4.生活經常性整體開銷:包含前三項及娛樂和其他經常性開銷 5.保健醫療開銷 若您不確定明確金額,填寫大概的數字即可。 (1) 已了解並開始填答"
vQ1,Q1,Q1,"0,999999999",,,,"0,999999999",,,,high,explicit lower-bound range,,match,,"Q1請問您個人(或同住家人的家庭)每個月的房租或房屋貸款,大約是多少元?(本題答案應為大於等於0的整數)【填答範圍設定大於等於0】 ____________元"
vQ2,Q2,Q2,"0,999999999",,,,"0,999999999",,,,high,explicit lower-bound range,,match,,"Q2請問您個人(或同住家人的家庭)每個月在食物經常性開銷,包含外食與自己煮的,大約是多少元?(本題答案應為大於等於0的整數)【填答範圍設定大於等於0】 ____________元"
vQ3,Q3,Q3,"0,999999999",,,,"0,999999999",,,,high,explicit lower-bound range,,match,,"Q3請問您個人(或同住家人的家庭)每個月在交通與能源經常性開銷,包含油錢、通勤搭車、水電瓦斯等,大約是多少元?(本題答案應為大於等於0的整數)【填答範圍設定大於等於0】 ____________元"
vQ4,Q4,Q4,"0,999999999",,,,"0,999999999",,,,high,explicit lower-bound range,,match,,"Q4請問您個人(或同住家人的家庭)每個月在生活經常性的整體開銷,包含房租、貸款、水電、吃飯、交通、娛樂等等,大約是多少元?(本題答案應為大於等於0的整數)【填答範圍設定大於等於0】 ____________元"
vCKQ4,CKQ4,CKQ4,"1,999999999",,,,"1,999999999",9999999996,,,high,explicit lower-bound range,optional question; inferred special code by value digit width,range_match_special_diff,r1 matches; special code columns differ,"CKQ4 請注意!「生活經常性的整體性開銷:(貼Q4答案)」應等於或大於下列三項的總和! 1.房租或房屋貸款:(貼Q1答案) 2.食物經常性開銷:(貼Q2答案) 3.交通與能源經常性開銷:(貼Q3答案) 再請您協助回想並填答。 請問您個人(或同住家人的家庭)每個月在「生活經常性的整體開銷」,包含房租、貸款、水電、吃飯、交通、娛樂等等,大約是多少元?【邏輯:Q1+Q2+Q3>Q4時進入此題;填答範圍設定大於等於1。調查結束後答案併回Q4題,此題變項刪除不提供。】 每月_____元"
vEND2,END2,END2,99969696969696,,,,99969696969696,,,,high,existing date range,from existing Excel date range,match,,"END2感謝您的參與,由於您的填答非屬本次的研究對象,希望下次有機會再邀請您! 【邏輯:Q1+Q2+Q3>CKQ4*1.1時進入此題,並停止作答】"
vQ5,Q5,Q5,"0,999999999",,,,"0,999999999",,,,high,explicit lower-bound range,,match,,"Q5請問您個人(或同住家人的家庭)每個月在保健醫療的開銷,包含醫院、診所醫療費用、藥品費、醫療器材與設備、個人醫療保險等,大約是多少元?(本題答案應為大於等於0的整數)【填答範圍設定大於等於0】 [說明:不含每月健保費、居家照護(長照)生活照顧費用等沒有醫療行為的開銷;醫療器材與設備如輪椅、助行器、血壓計等設備購置或租賃費用] ____________元"
