project,severity,sheet,row,column,code,message
傳播4-1,error,複選題_301-400,2,m,duplicate_global_mp,m 301 duplicates 數值題 row 202.
傳播4-1,error,複選題_301-400,3,m,duplicate_global_mp,m 302 duplicates 數值題 row 203.
傳播4-1,error,複選題_301-400,4,m,duplicate_global_mp,m 303 duplicates 數值題 row 204.
傳播4-1,error,複選題內_互斥,2,m,duplicate_global_mp,m 304 duplicates 數值題 row 205.
傳播4-1,error,複選題內_互斥,3,m,duplicate_global_mp,m 305 duplicates 數值題 row 206.
傳播4-1,error,複選題內_互斥,4,m,duplicate_global_mp,m 306 duplicates 數值題 row 207.
傳播4-1,error,數值題,2,p,blank_required_cell,p is required.
傳播4-1,error,數值題,3,p,blank_required_cell,p is required.
傳播4-1,error,數值題,4,p,blank_required_cell,p is required.
傳播4-1,error,數值題,5,p,blank_required_cell,p is required.
傳播4-1,error,數值題,6,p,blank_required_cell,p is required.
傳播4-1,error,數值題,7,p,blank_required_cell,p is required.
傳播4-1,error,數值題,8,p,blank_required_cell,p is required.
傳播4-1,error,數值題,9,p,blank_required_cell,p is required.
傳播4-1,error,數值題,10,p,blank_required_cell,p is required.
傳播4-1,error,數值題,11,p,blank_required_cell,p is required.
傳播4-1,error,數值題,12,p,blank_required_cell,p is required.
傳播4-1,error,數值題,13,p,blank_required_cell,p is required.
傳播4-1,error,數值題,14,p,blank_required_cell,p is required.
傳播4-1,error,數值題,15,p,blank_required_cell,p is required.
傳播4-1,error,數值題,16,p,blank_required_cell,p is required.
傳播4-1,error,數值題,17,p,blank_required_cell,p is required.
傳播4-1,error,數值題,18,p,blank_required_cell,p is required.
傳播4-1,error,數值題,19,p,blank_required_cell,p is required.
傳播4-1,error,數值題,20,p,blank_required_cell,p is required.
傳播4-1,error,數值題,21,p,blank_required_cell,p is required.
傳播4-1,error,數值題,22,p,blank_required_cell,p is required.
傳播4-1,error,數值題,23,p,blank_required_cell,p is required.
傳播4-1,error,數值題,24,p,blank_required_cell,p is required.
傳播4-1,error,數值題,25,p,blank_required_cell,p is required.
傳播4-1,error,數值題,26,p,blank_required_cell,p is required.
傳播4-1,error,數值題,27,p,blank_required_cell,p is required.
傳播4-1,error,數值題,28,p,blank_required_cell,p is required.
傳播4-1,error,數值題,29,p,blank_required_cell,p is required.
傳播4-1,error,數值題,30,p,blank_required_cell,p is required.
傳播4-1,error,數值題,31,p,blank_required_cell,p is required.
傳播4-1,error,數值題,32,p,blank_required_cell,p is required.
傳播4-1,error,數值題,33,p,blank_required_cell,p is required.
傳播4-1,error,數值題,34,p,blank_required_cell,p is required.
傳播4-1,error,數值題,35,p,blank_required_cell,p is required.
傳播4-1,error,數值題,36,p,blank_required_cell,p is required.
傳播4-1,error,數值題,37,p,blank_required_cell,p is required.
傳播4-1,error,數值題,38,p,blank_required_cell,p is required.
傳播4-1,error,數值題,39,p,blank_required_cell,p is required.
傳播4-1,error,數值題,40,p,blank_required_cell,p is required.
傳播4-1,error,數值題,41,p,blank_required_cell,p is required.
傳播4-1,error,數值題,42,p,blank_required_cell,p is required.
傳播4-1,error,數值題,43,p,blank_required_cell,p is required.
傳播4-1,error,數值題,44,p,blank_required_cell,p is required.
傳播4-1,error,數值題,45,p,blank_required_cell,p is required.
傳播4-1,error,數值題,46,p,blank_required_cell,p is required.
傳播4-1,error,數值題,47,p,blank_required_cell,p is required.
傳播4-1,error,數值題,48,p,blank_required_cell,p is required.
傳播4-1,error,數值題,49,p,blank_required_cell,p is required.
傳播4-1,error,數值題,50,p,blank_required_cell,p is required.
傳播4-1,error,數值題,51,p,blank_required_cell,p is required.
傳播4-1,error,數值題,52,p,blank_required_cell,p is required.
傳播4-1,error,數值題,53,p,blank_required_cell,p is required.
傳播4-1,error,數值題,54,p,blank_required_cell,p is required.
傳播4-1,error,數值題,55,p,blank_required_cell,p is required.
傳播4-1,error,數值題,56,p,blank_required_cell,p is required.
傳播4-1,error,數值題,57,p,blank_required_cell,p is required.
傳播4-1,error,數值題,58,p,blank_required_cell,p is required.
傳播4-1,error,數值題,59,p,blank_required_cell,p is required.
傳播4-1,error,數值題,60,p,blank_required_cell,p is required.
傳播4-1,error,數值題,61,p,blank_required_cell,p is required.
傳播4-1,error,數值題,62,p,blank_required_cell,p is required.
傳播4-1,error,數值題,63,p,blank_required_cell,p is required.
傳播4-1,error,數值題,64,p,blank_required_cell,p is required.
傳播4-1,error,數值題,65,p,blank_required_cell,p is required.
傳播4-1,error,數值題,66,p,blank_required_cell,p is required.
傳播4-1,error,數值題,67,p,blank_required_cell,p is required.
傳播4-1,error,數值題,68,p,blank_required_cell,p is required.
傳播4-1,error,數值題,69,p,blank_required_cell,p is required.
傳播4-1,error,數值題,70,p,blank_required_cell,p is required.
傳播4-1,error,數值題,71,p,blank_required_cell,p is required.
傳播4-1,error,數值題,72,p,blank_required_cell,p is required.
傳播4-1,error,數值題,73,p,blank_required_cell,p is required.
傳播4-1,error,數值題,74,p,blank_required_cell,p is required.
傳播4-1,error,數值題,75,p,blank_required_cell,p is required.
傳播4-1,error,數值題,76,p,blank_required_cell,p is required.
傳播4-1,error,數值題,77,p,blank_required_cell,p is required.
傳播4-1,error,數值題,78,p,blank_required_cell,p is required.
傳播4-1,error,數值題,79,p,blank_required_cell,p is required.
傳播4-1,error,數值題,80,p,blank_required_cell,p is required.
傳播4-1,error,數值題,81,p,blank_required_cell,p is required.
傳播4-1,error,數值題,82,p,blank_required_cell,p is required.
傳播4-1,error,數值題,83,p,blank_required_cell,p is required.
傳播4-1,error,數值題,84,p,blank_required_cell,p is required.
傳播4-1,error,數值題,85,p,blank_required_cell,p is required.
傳播4-1,error,數值題,86,p,blank_required_cell,p is required.
傳播4-1,error,數值題,87,p,blank_required_cell,p is required.
傳播4-1,error,數值題,88,p,blank_required_cell,p is required.
傳播4-1,error,數值題,89,p,blank_required_cell,p is required.
傳播4-1,error,數值題,90,p,blank_required_cell,p is required.
傳播4-1,error,數值題,91,p,blank_required_cell,p is required.
傳播4-1,error,數值題,92,p,blank_required_cell,p is required.
