"var","status","reason","source","question_excerpt"
"vZA","manual","no automatic proposal","no numeric range found",""
"vO1","manual","no automatic proposal","no numeric range found",""
"vO2","manual","no automatic proposal","no numeric range found",""
"vO3","manual","no automatic proposal","no numeric range found",""
"vO4","manual","no automatic proposal","no numeric range found",""
"vCKB5","manual","no automatic proposal","no numeric range found","CKB5‧【檢查題】【B1+B3+1<B5顯示此題】 受訪者一週當中看【貼B5答案】天的電視新聞(B5), 超過星期一到星期五看【貼B1答案】天+星期六和星期日看【貼B3答案】天(B3)電視的總和。 請回「上一題」B5題重新確認看電視新聞天數,或回到B1及B3題重新確認看電視天數。 請重新確認B1、B3及B5題天數 【互斥無法點選,選項號隱藏】 邏輯式備註: 1.B1<=5,B3<=2.B5<=7,B5>B1+B3+1 2.B1=95,B3<=2,B5<=7,B5>B3+1 3.B1<=5,B3=95,B5<=7,B5>B1+1 4.B1=95,B3=95,B5<=7,2<=B5<=7"
"vN1sN1","manual","no automatic proposal","no numeric range found","N1‧接下來我會用一些句子描述人,您覺得這些描述跟現在的您像不像?(卡31)【N1至N10請用群組題方式排版】"
"vN1sN2","manual","no automatic proposal","no numeric range found","N1‧接下來我會用一些句子描述人,您覺得這些描述跟現在的您像不像?(卡31)【N1至N10請用群組題方式排版】"
"vN1sN3","manual","no automatic proposal","no numeric range found","N1‧接下來我會用一些句子描述人,您覺得這些描述跟現在的您像不像?(卡31)【N1至N10請用群組題方式排版】"
"vN1sN4","manual","no automatic proposal","no numeric range found","N1‧接下來我會用一些句子描述人,您覺得這些描述跟現在的您像不像?(卡31)【N1至N10請用群組題方式排版】"
"vN1sN5","manual","no automatic proposal","no numeric range found","N1‧接下來我會用一些句子描述人,您覺得這些描述跟現在的您像不像?(卡31)【N1至N10請用群組題方式排版】"
"vN6sN6","manual","no automatic proposal","no numeric range found",""
"vN6sN7","manual","no automatic proposal","no numeric range found",""
"vN6sN8","manual","no automatic proposal","no numeric range found",""
"vN6sN9","manual","no automatic proposal","no numeric range found",""
"vN6sN10","manual","no automatic proposal","no numeric range found",""
"vN11sN11","manual","no automatic proposal","no numeric range found","N11‧接下來,我會用一些句子描述您的生活,以及與別人相處的情況,請問您同不同意這些描述?(卡32)【N11至N16請用群組題方式排版】"
"vN11sN12","manual","no automatic proposal","no numeric range found","N11‧接下來,我會用一些句子描述您的生活,以及與別人相處的情況,請問您同不同意這些描述?(卡32)【N11至N16請用群組題方式排版】"
"vN11sN13","manual","no automatic proposal","no numeric range found","N11‧接下來,我會用一些句子描述您的生活,以及與別人相處的情況,請問您同不同意這些描述?(卡32)【N11至N16請用群組題方式排版】"
"vN11sN14","manual","no automatic proposal","no numeric range found","N11‧接下來,我會用一些句子描述您的生活,以及與別人相處的情況,請問您同不同意這些描述?(卡32)【N11至N16請用群組題方式排版】"
"vN11sN15","manual","no automatic proposal","no numeric range found","N11‧接下來,我會用一些句子描述您的生活,以及與別人相處的情況,請問您同不同意這些描述?(卡32)【N11至N16請用群組題方式排版】"
"vN11sN16","manual","no automatic proposal","no numeric range found","N11‧接下來,我會用一些句子描述您的生活,以及與別人相處的情況,請問您同不同意這些描述?(卡32)【N11至N16請用群組題方式排版】"
"vN18sN18","manual","no automatic proposal","no numeric range found","N18‧那想請問您同不同意下列說法?(卡32)【N18至N20請用群組題方式排版】"
"vN18sN19","manual","no automatic proposal","no numeric range found","N18‧那想請問您同不同意下列說法?(卡32)【N18至N20請用群組題方式排版】"
"vN18sN20","manual","no automatic proposal","no numeric range found","N18‧那想請問您同不同意下列說法?(卡32)【N18至N20請用群組題方式排版】"
"vN21sN21","manual","no automatic proposal","no numeric range found","N21‧那想請問您同不同意下列說法?(卡32) 【N21至N22請用群組題方式排版】"
"vN21sN22","manual","no automatic proposal","no numeric range found","N21‧那想請問您同不同意下列說法?(卡32) 【N21至N22請用群組題方式排版】"
"vO5","manual","no automatic proposal","no numeric range found",""
"vN33sN33","manual","no automatic proposal","no numeric range found","N33‧請根據您自己的實際狀況,回答下列問題。(卡37)【N33至N34請用群組題方式排版】"
"vN33sN34","manual","no automatic proposal","no numeric range found","N33‧請根據您自己的實際狀況,回答下列問題。(卡37)【N33至N34請用群組題方式排版】"
"vN35sN35","manual","no automatic proposal","no numeric range found","N35‧在過去七天內,您大概有幾天曾發生下列情況?(卡38)【N35至N38請用群組題方式排版】 Q、政治共同題 Qa.【前導語】(卡39)接下來,我們想請教您有多常透過媒體獲得政治或公共事務的訊息。這裡的公共事務指的是:跟社會上大多數人、跟社區或跟公共團體相關的新聞或事務。政治或公共事務例如:政府處理公共衛生與防災的做法(如豬瘟)、物價上漲或民生經濟議題(如房價、油價、缺電問題)、社區事務、兩岸關係與國際事件(如烏俄戰爭)等等。"
